entity,label,p_cec,conflict,p_maker,p_generic_use,p_alt_meaning,n_titles,n_categories,slots,example_title,p_recognized,gated
pine,branded,0.6689,False,0.9615,0.0006,0.3311,1,1,inline,Blue Pine Artesian Water - 750 ML - GST @18 %,,False
stroopie,branded,0.6584,False,1.0,0.0014,0.3416,1,0,suffix,#_# Big Bag - Stroopie,,False
don,branded,0.6442,False,0.6442,0.0002,0.0119,1,1,inline,Teqila Blanco Don Angel 750 Ml,,False
whitepepperpowder100gm30291,branded,0.6406,False,0.9989,0.3594,0.0003,1,1,suffix,MDH - White Pepper Powder 100 gm 30291,,False
wvf,branded,0.6298,False,0.6298,0.0001,0.0,1,1,inline,STICKERS WVF COLD VARAVRAGE - THINK ORIGINS HAZELNUT COLD FILTER COFFEE FSSAI,,False
shop,branded,0.6225,False,0.6225,0.0007,0.0005,1,1,inline,Nam Shop Sticker   Prawn Crackers Large,,False
lemonginger500ml,branded,0.6114,False,0.9627,0.3886,0.0298,1,1,suffix,"Newtrition - Lemon Ginger, 500 ML",,False
pcp,branded,0.6077,False,0.6077,0.0066,0.0,1,1,allcaps,Chicken PCP (Bone),,False
cello,branded,0.5927,False,0.906,0.4073,0.0219,3,1,prefix,CELLO TAPE BIG PLAIN 3 INCH,,False
sos,branded,0.5889,False,0.5889,0.3277,0.2451,1,1,allcaps,Outer Bag SOS 70 GSM - Snacc,,False
chat,branded,0.5813,False,0.7372,0.1112,0.4187,1,1,prefix,CHAT PLATE 6 INCH,,False
khoyapindi1kg,branded,0.5775,False,0.9981,0.4225,0.0601,1,1,suffix,Shudh Garhwal - Khoya Pindi 1KG,,False
moto,branded,0.5737,False,0.5737,0.1192,0.1259,1,1,inline,AJINO MOTO,,False
egglessmayo,branded,0.5699,False,0.9774,0.3522,0.4301,1,1,suffix,Delmonte - Eggless Mayo,,False
cleanedcrate,branded,0.5622,False,0.5622,0.0072,0.0002,1,1,inline,UH GREEN CAPSICUMWHOLE CLEANEDCRATE,,False
real,branded,0.539,False,0.539,0.0,0.0716,2,2,inline|prefix,Real Pineapple Juice,,False
yu001517,branded,0.539,False,0.539,0.0008,0.0,1,1,allcaps,YU001517 Sensor Magnetiv 2 Nc,,False
permium,branded,0.5312,False,0.5312,0.0119,0.0,1,1,inline,Hungritos Permium without Skin On Fries 9Mm,,False
w33,branded,0.5234,False,0.5234,0.0003,0.0,1,1,allcaps,MF White Compound CO W33,,False
kulambuchillipowder500gm,branded,0.5,True,0.8032,0.9579,0.6792,1,1,suffix,"Sakthi - Kulambu Chilli powder, 500gm",,False
cuminjeera1kg,branded,0.5,True,0.9874,0.7372,0.5813,1,1,suffix,EASTMADE - CUMIN (JEERA) 1 KG,,False
barcodelable50mmx25mmnontearable,branded,0.5,True,0.9935,0.9998,0.0321,1,1,suffix,ROW - Barcode Lable 50mmX25mm Non Tearable,,False
lable,unbranded,0.5,True,0.0,0.9948,0.1112,1,1,inline,ROW - Barcode Lable 50mmX25mm Non Tearable,,False
m38,unbranded,0.5,True,0.0213,0.0017,0.0,1,1,allcaps,T Shirt Black NM M38,,False
papad,branded,0.5,True,0.6442,1.0,0.9997,3,2,inline|prefix|suffix,Papad ( Big),,False
rooh,unbranded,0.5,True,0.5,0.0006,0.709,1,1,prefix,ROOH AFZA,,False
ultra,unbranded,0.5,True,0.002,0.02,0.7461,1,1,inline,Taski Suma Ultra (L2) 5L Can,,False
lto,unbranded,0.5,True,0.0244,0.4073,0.0094,1,1,allcaps,Korean LTO Menu,,False
triplesec,unbranded,0.5,True,0.0331,0.9643,0.1259,1,0,prefix,Triplesec,,False
shudh,branded,0.5,True,0.977,0.0032,0.9981,1,1,prefix,Shudh Garhwal - Khoya Pindi 1KG,,False
garhwal,branded,0.5,True,0.6298,0.0006,0.8741,1,1,inline,Shudh Garhwal - Khoya Pindi 1KG,,False
fun,branded,0.5,True,0.9933,0.8311,0.2121,1,1,inline,#_# Chocolate Fudge Overload (NAS) 500 ml - Frozen Fun,,False
biriyan,unbranded,0.5,True,0.0061,0.3074,0.0759,1,1,inline,Prepit Hyderabad Biriyan 1 kg,,False
dott,unbranded,0.5,True,0.4922,0.0014,0.0053,1,1,inline,COLOUR CODE DOTT TUES,,False
kanga,branded,0.5,True,0.5583,0.0122,0.5156,1,1,inline,Sweetpotato (Kanga),,False
think,branded,0.5,True,0.9815,0.5312,0.0044,3,3,inline|prefix,STICKERS WVF COLD VARAVRAGE - THINK ORIGINS HAZELNUT COLD FILTER COFFEE FSSAI,,False
fssai,unbranded,0.5,True,0.0001,0.0,0.0,1,1,inline,STICKERS WVF COLD VARAVRAGE - THINK ORIGINS HAZELNUT COLD FILTER COFFEE FSSAI,,False
aanch,branded,0.5,True,0.9937,0.0,0.6334,1,0,prefix,AANCH COVER,,False
good,unbranded,0.5,True,0.4073,0.9046,0.0592,2,2,inline|prefix,Good Night Machine,,False
night,unbranded,0.5,True,0.0489,0.0447,0.5467,1,1,inline,Good Night Machine,,False
handi,unbranded,0.5,True,0.0152,0.9919,0.0138,7,6,inline|prefix,Biryani Handi 750 GM,,False
kobij,branded,0.5,True,0.9866,0.8222,0.8311,1,1,prefix,Kobij-Cabbage,,False
popsicle,branded,0.5,True,0.989,0.9923,0.9934,1,1,inline,#_# FC - Orange Popsicle Ice Cream [70 Ml] - Noto,,False
kit,unbranded,0.5,True,0.0,0.9999,0.3775,2,2,inline|prefix,Kit Kat,,False
kat,unbranded,0.5,True,0.1711,0.0016,0.0002,1,1,inline,Kit Kat,,False
murukku,branded,0.5,True,0.9993,0.3849,0.7607,9,9,inline|suffix,#_# Asafoetida / Hing - murukku,,False
blackpaperwholekalimirch,branded,0.5,True,0.9986,0.9344,0.566,1,1,suffix,3 EASTMADE - BLACK PAPER WHOLE (KALI MIRCH),,False
momo,branded,0.5,True,0.9878,1.0,0.9892,3,3,inline|prefix,Momo Steamer,,False
herble,unbranded,0.5,True,0.0706,0.077,0.0002,1,1,inline,Amla Sabut Herble,,False
tab,unbranded,0.5,True,0.0004,0.9931,0.0619,1,1,inline,SUMA TAB CHLORINE,,False
chutney,branded,0.5,True,0.9946,1.0,0.9999,4,4,inline|suffix,Dhania Pudina Chutney-SNACC,,False
banditos,unbranded,0.5,True,0.0034,0.0008,0.0014,2,1,inline,#_# Caramelo Banditos Sticker - Cookie Cartel,,False
mithainamkeen,branded,0.5,True,0.9999,0.1385,0.9853,1,1,suffix,Flexible Plastic Bags ( 5kg Small Size - Mithai & Namkeen),,False
unbranded,unbranded,0.5,True,0.0009,0.4417,0.9971,4,4,inline|prefix,Unbranded Spray Gun,,False
teqila,unbranded,0.5,True,0.3346,0.9893,0.0081,1,1,prefix,Teqila Blanco Don Angel 750 Ml,,False
chakkiatta30kg,branded,0.5,True,0.9893,0.9952,0.8289,1,1,suffix,VIKRAM - CHAKKI ATTA 30 KG,,False
egglesschocolavacakepremix1kgambient148873,branded,0.5,True,0.9958,0.9019,0.001,1,1,suffix,Infinite - Eggless Choco Lava Cake Premix 1 Kg Ambient 148873,,False
choco,unbranded,0.5,True,0.1128,0.9988,0.3923,2,2,allcaps|inline,Infinite - Eggless Choco Lava Cake Premix 1 Kg Ambient 148873,,False
ambient,unbranded,0.5,True,0.0,0.9019,0.4688,1,1,inline,Infinite - Eggless Choco Lava Cake Premix 1 Kg Ambient 148873,,False
greensmall,unbranded,0.5,True,0.0004,0.0402,0.0005,1,1,inline,UH ZUCCHINI GREENSMALL DICE1 KG / BAG,,False
bite,unbranded,0.5,True,0.1112,0.0001,0.0002,5,2,inline,Butter Scotch DF Bite,,False
m21,unbranded,0.5,True,0.2689,0.0001,0.0,1,1,allcaps,Milk Compound Slab M21,,False
x1kg,unbranded,0.5,True,0.0,0.9943,0.1871,1,1,allcaps,Mangoes (Sindhura) X1KG,,False
make,unbranded,0.5,True,0.0,0.8791,0.0792,1,1,inline,Premix Egg Free Chocolate Make: pillsbury,,False
jau,branded,0.5,True,0.7372,1.0,0.9763,1,1,prefix,Jau / Ghat,,False
burata,unbranded,0.5,True,0.1366,0.8418,0.0174,1,1,prefix,Burata Cheese 250 Grm,,False
godfather,unbranded,0.5,True,0.0368,0.0006,0.0059,1,1,inline,#_# The Godfather (Reeses peanut butter cup) Cookie Dough - Cookie Cartel,,False
gud,branded,0.5,True,0.9649,0.0815,0.5429,1,0,prefix,Gud,,False
poly,branded,0.5,True,0.9417,0.8267,0.1052,3,3,inline|prefix,Poly Veg logo1500&#215;23,,False
gendaphool,branded,0.5,True,1.0,0.0,0.7691,2,2,suffix,#_# Kesar Peda 500gms - Genda Phool,,False
genda,branded,0.5,True,0.7372,0.1348,0.8758,2,2,inline,#_# Kesar Peda 500gms - Genda Phool,,False
san,unbranded,0.5,True,0.0015,0.1733,0.0927,1,1,prefix,San Marzano - Pomace Olive Oil,,False
marzano,unbranded,0.5,True,0.0067,0.1312,0.2043,1,1,inline,San Marzano - Pomace Olive Oil,,False
capsicumwhole,unbranded,0.5,True,0.0001,0.9684,0.002,1,1,inline,UH GREEN CAPSICUMWHOLE CLEANEDCRATE,,False
tie,unbranded,0.5,True,0.0006,0.9999,0.133,1,0,inline,200m Tie,,False
pet,unbranded,0.5,True,0.0003,0.9999,0.0901,5,3,inline|prefix,N_4  Pet Jar Lid,,False
farm,unbranded,0.5,True,0.0346,0.0,0.0035,6,3,inline,#_# Mango Kulfi 300gm - Parsi Dairy Farm,,False
d15,unbranded,0.5,True,0.4688,0.001,0.0,1,1,allcaps,Dark Compound Co D15 500Gms,,False
chounk,branded,0.5,True,0.9993,0.0152,0.6689,3,3,inline,Turmeric (Haldi) Powder Chounk,,False
rubberkitchengloves,branded,0.5,True,0.9579,0.9759,0.9161,1,1,suffix,Scotch Brite - Rubber Kitchen Gloves,,False
juna,branded,0.5,True,0.5234,0.5039,0.0759,1,1,inline,SCOTCH BRITE  JUNA,,False
puree,unbranded,0.5,True,0.0,1.0,0.0307,2,1,inline,MANGO PUREE,,False
spice,branded,0.5,True,0.9993,0.9969,0.9982,3,3,inline|prefix,Lobo - 5 Spice Powder 65 gm 51547,,False
topper,branded,0.5,True,0.8397,0.6926,0.461,1,0,prefix,Topper,,False
canteen,branded,0.5,True,0.9892,0.0003,0.9604,2,1,prefix,Canteen Tea Cup (130ML),,False
sakura,unbranded,0.5,True,0.0032,0.3416,0.9987,2,2,prefix,#_# Sakura Blossom Gateaux (125 Gms) - Ether,,False
rare,unbranded,0.5,True,0.0001,0.001,0.0981,1,0,inline,J and B Rare,,False
golden,unbranded,0.5,True,0.4301,0.0385,0.8176,2,2,inline|prefix,Golden Dust,,False
tiny,unbranded,0.5,True,0.3486,0.0,0.0619,2,1,inline,#_# Slide Tru Hamper Box OF 4 Outer - The Tiny Tub,,False
mothbeans,branded,0.5,True,0.9981,0.9939,0.9997,1,1,suffix,Moth / Math Atta - Flour - Moth Beans,,False
moth,branded,0.5,True,0.6151,0.9997,0.5851,2,2,prefix,Moth / Math Atta - Flour - Moth Beans,,False
ajinomato,unbranded,0.5,True,0.0,0.021,0.0,2,1,prefix,Ajinomato,,False
tango,branded,0.5,True,0.8439,0.0003,0.5506,1,1,prefix,#_# Tango Mango - Anando,,False
food,unbranded,0.5,True,0.0876,0.884,0.2282,3,3,inline|prefix,Food Colours Splash 200g Assorted,,False
splash,unbranded,0.5,True,0.1919,0.039,0.9679,1,1,inline,Food Colours Splash 200g Assorted,,False
brandy,unbranded,0.5,True,0.0,1.0,0.0244,2,2,inline,BARDINET BRANDY 1000 ML,,False
softsponge,branded,0.5,True,0.9963,0.7957,0.9664,1,1,suffix,SCOTCH BRITE - SOFT SPONGE,,False
perfect,unbranded,0.5,True,0.0004,0.2783,0.974,1,1,prefix,PERFECT NO-BAKE CHEESECAKE MIX (1KG),,False
s36,unbranded,0.5,True,0.0096,0.0078,0.0,1,1,allcaps,Chef Coat S36  Black Half Sleeve,,False
delta,unbranded,0.5,True,0.3923,0.0,0.0183,1,1,inline,Fruit Filling Mango Delta,,False
aroma,branded,0.5,True,0.9674,0.9906,0.7154,2,2,inline|prefix,Aroma Diffuser Liquid,,False
hazelnutchocopaste1kg140027,branded,0.5,True,0.8081,0.8459,0.0003,1,1,suffix,GK-Morde - Hazelnut Chocopaste 1 Kg 140027,,False
crispycajunbreadingmix1kgh51176,unbranded,0.5,True,0.0,0.539,0.0003,1,1,suffix,Chef's Art - Crispy Cajun Breading Mix 1 Kg H51176,,False
h51176,unbranded,0.5,True,0.0,0.0,0.0,1,1,allcaps,Chef's Art - Crispy Cajun Breading Mix 1 Kg H51176,,False
duo,unbranded,0.5,True,0.0,0.4225,0.9252,1,1,inline,preethi xpro Duo mg-198 1300w,,False
label,unbranded,0.5,True,0.0009,0.0115,0.5273,4,2,inline,Tea Powder   Red Label 1kg pkt,,False
choice,unbranded,0.5,True,0.0022,0.2509,0.3346,1,1,inline,Cremica Chef Choice Mayo,,False
mrp,unbranded,0.5,True,0.0,0.5,0.8376,1,0,inline,Water Bottle Mrp 70,,False
die,unbranded,0.5,True,0.0,0.3381,0.8032,1,0,inline,95 Die lid,,False
pillar,branded,0.5,True,0.8775,0.002,0.6406,1,0,prefix,Pillar,,False
shresth,branded,0.5,True,1.0,0.0,0.5813,1,1,prefix,Shresth Gold Milk 500 Ml,,False
party,branded,0.5,True,0.8439,0.9998,0.9996,2,2,inline|prefix,Party Popper 40 CM,,False
cassatar73mm,branded,0.5,True,0.9848,0.9702,0.1112,1,1,suffix,Butter Paper - Cassata (r=73mm),,False
iceberg,unbranded,0.5,True,0.3416,0.9888,0.2751,1,0,prefix,Iceberg,,False
iqf,unbranded,0.5,True,0.0,0.9999,0.461,1,1,inline,RASPBERRY IQF FROZEN,,False
jamaicanjerkseasoning400gm,branded,0.5,True,0.9981,0.9974,0.8977,1,1,suffix,Chefs Art - Jamaican Jerk Seasoning 400 gm,,False
copier,unbranded,0.5,True,0.0001,0.9914,0.4571,1,0,inline,JK Copier A4 Paper,,False
tops,unbranded,0.5,True,0.1403,0.0,0.0005,1,0,inline,Sauce Chilli Green Tops,,False
bark,unbranded,0.5,True,0.0967,0.1312,0.2451,1,1,inline,Gold Bark (Leaf),,False
amrut,branded,0.5,True,1.0,0.0,0.6758,1,1,prefix,Amrut fusion single malt whisky 750 ml,,False
makeup,unbranded,0.5,True,0.0001,0.991,0.0804,1,1,inline,TL Hitachi UX Makeup 800ml,,False
ganga,branded,0.5,True,0.7718,0.0,0.7461,1,0,inline,ATTA GANGA,,False
tetra,unbranded,0.5,True,0.1919,0.9993,0.4225,2,2,inline,MILK AMUL TETRA PACK,,False
bayleaf,branded,0.5,True,0.9707,0.2069,0.9019,1,1,prefix,Bayleaf Chounk,,False
breakfast,unbranded,0.5,True,0.0,0.0006,0.9399,2,1,prefix,Breakfast Sugar Trust 1 Kg,,False
jali,branded,0.5,True,0.5851,0.9974,0.9977,1,1,prefix,JALI MAT 10MM HEAVY,,False
sooji1kg,unbranded,0.5,True,0.005,0.2309,0.133,1,1,suffix,RAJDHANI - SOOJI (1KG),,False
macroni,branded,0.5,True,0.9196,0.9996,0.1733,1,1,prefix,Macroni Rajdhani,,False
selecte,unbranded,0.5,True,0.3208,0.0015,0.0002,1,1,inline,Grover Selecte Chenin Blanc 750 Ml,,False
kumatia,branded,0.5,True,0.852,0.8808,0.1461,1,0,prefix,Kumatia,,False
chiplet,unbranded,0.5,True,0.0002,0.9956,0.0316,1,1,inline,Butter Chiplet,,False
tikho,branded,0.5,True,0.8199,0.9983,0.7827,1,1,inline,Farali Chevdo (Tikho),,False
manager,unbranded,0.5,True,0.0,0.0049,0.0012,1,1,prefix,Manager Shirt Pink Size-S,,False
outlet,unbranded,0.5,True,0.4149,0.0863,0.0454,1,1,inline,Aluminium Container 750ml with Lid (Outlet),,False
panner,unbranded,0.5,True,0.0016,0.9943,0.0162,1,0,prefix,Panner Fresh 1 kg,,False
mumbai,unbranded,0.5,True,0.0019,0.4766,0.6993,1,1,prefix,MUMBAI RAVA 5 KG,,False
x50,unbranded,0.5,True,0.0,0.9963,0.3416,1,1,allcaps,Garbage Bag Green 30 X50,,False
new,unbranded,0.5,True,0.0001,0.4805,0.1023,1,1,inline,Grated mozzarella New Onesta,,False
exempt,unbranded,0.5,True,0.0,0.4922,0.0177,1,1,inline,Amul Fresh Cream 1 Ltr- Exempt,,False
tiger,unbranded,0.5,True,0.0018,0.8311,0.1582,1,0,inline,Salt Black Tiger,,False
rasila,branded,0.5,True,0.8903,0.9826,0.9659,1,1,prefix,Rasila Rajma - Outsource,,False
dfm,unbranded,0.5,True,0.3558,0.0004,0.0,1,1,allcaps,Maida DFM 50 Kg Unbrand,,False
sause,unbranded,0.5,True,0.0,0.9958,0.0647,1,1,inline,Kissan Tomato Sause Dip,,False
cucumber,branded,0.5,True,0.9944,1.0,1.0,2,2,inline|suffix,Kakdi - Cucumber,,False
saunf,branded,0.5,True,0.9344,0.9997,1.0,1,1,suffix,Aniseed Whole - Saunf,,False
mogra,unbranded,0.5,True,0.0368,0.0226,0.7827,1,1,prefix,Mogra Staff Rice (Broken Basmati Rice) 30 Kg 138777,,False
wet,branded,0.5,True,0.8333,1.0,1.0,2,2,inline|prefix,#_# Mop Refill [Wet],,False
strawberrysmoothiepremixpowder58gx15sachet,unbranded,0.5,True,0.0164,0.9997,0.0063,1,1,suffix,GK - Infinite Food - Strawberry Smoothie Premix Powder (58 G x 15 sachet),,False
order,unbranded,0.5,True,0.0001,0.8397,0.2121,1,1,inline,SS Round Plate 10 Inch- Order Plate,,False
chinesereadyschezwansaucefrozen1kg,unbranded,0.5,True,0.4149,0.9284,0.0326,2,1,suffix,RTE-Seths - Chinese Ready Schezwan Sauce (Frozen) 1 Kg,,False
rte,unbranded,0.5,True,0.3849,0.0558,0.4844,2,1,allcaps,RTE-Seths - Chinese Ready Schezwan Sauce (Frozen) 1 Kg,,False
seths,unbranded,0.5,True,0.0,0.0,0.0,2,1,inline,RTE-Seths - Chinese Ready Schezwan Sauce (Frozen) 1 Kg,,False
scissor,unbranded,0.5,True,0.0003,0.9996,0.3174,1,0,prefix,#_# Scissor,,False
transfer,branded,0.5,True,0.9433,0.0759,0.9693,1,1,prefix,Transfer Notebook,,False
meduim,branded,0.5,True,0.9173,0.7432,0.0013,1,1,suffix,Plastic Storage Boxes - Meduim,,False
king,unbranded,0.5,True,0.3242,0.1968,0.4301,1,1,inline,Kitchen King MDH 100 Gm- GST @ 5%,,False
bb0009,unbranded,0.5,True,0.0,0.0,0.0,1,1,allcaps,"RTE-Seths - Chinese Ready Schezwan Sauce (Frozen), 1 Kg BB0009",,False
leaveapplication,branded,0.5,True,0.9998,0.4225,0.9112,1,0,suffix,BOOKLET - LEAVE APPLICATION,,False
nonbromite,unbranded,0.5,True,0.0076,0.3923,0.0057,1,1,prefix,NONBROMITE BREAD IMPROVER 1 KG 0157,,False
inc,unbranded,0.5,True,0.0001,0.8597,0.1067,1,1,inline,Polyester Label Sticker (4x2 Inc Red) Non veg,,False
curaco,unbranded,0.5,True,0.0,0.8824,0.0237,1,1,inline,Monin Blue Curaco 700 ml,,False
cubes,unbranded,0.5,True,0.0,0.9998,0.3007,2,2,inline|prefix,Maggi Cubes Chicken,,False
tar,unbranded,0.5,True,0.1259,0.0481,0.8056,1,1,prefix,#_# Tar Brush (Dosa Bhatti),,False
jain,branded,0.5,True,0.9955,0.0028,0.9868,1,1,prefix,Jain Hing Powder,,False
ban,unbranded,0.5,True,0.4922,0.0004,0.0396,1,1,allcaps,Carrot Beans Poriyal(ME)-A-BAN,,False
withbarrier1270,branded,0.5,True,0.9943,0.9592,0.0015,1,1,suffix,POUCH 200MM X 250MM - Poly Pet - With Barrier (12/70),,False
cola,unbranded,0.5,True,0.0,0.077,0.15,1,1,inline,Coca Cola 180ML (Pack of 36PCS),,False
ziplock,unbranded,0.5,True,0.0321,0.9433,0.248,1,1,prefix,Ziplock Bags,,False
cane,unbranded,0.5,True,0.461,0.0037,0.0804,1,1,inline,COKE CANE,,False
redchillywholekashmiri,branded,0.5,True,0.9996,0.848,0.6039,1,1,suffix,Kashmiri Mirch Aakhu - Red Chilly Whole Kashmiri,,False
newyork,unbranded,0.5,True,0.2942,0.0012,0.0567,1,1,prefix,Newyork Cheese Filling,,False
n20,unbranded,0.5,True,0.0637,0.0216,0.0,1,1,allcaps,N20 Whipped Cream Chargers,,False
magnetiv,unbranded,0.5,True,0.0351,0.0542,0.0,1,1,inline,YU001517 Sensor Magnetiv 2 Nc,,False
rocher,unbranded,0.5,True,0.2451,0.0792,0.0021,1,1,inline,#_# Frozen Chonk O Rocher - Chonkers,,False
plum,branded,0.5,True,0.539,0.3522,0.9649,1,1,prefix,Plum Essence,,False
sbs,unbranded,0.5,True,0.0038,0.9698,0.4494,1,1,allcaps,Canteen Drink Box (250GSM) SBS,,False
grade1fine,branded,0.5,True,0.7491,0.9975,0.9968,1,1,suffix,Moong Dal - Grade 1 (Fine),,False
focassia,unbranded,0.5,True,0.0,0.9995,0.2628,1,1,inline,Italian Focassia Polly Bag 8 x 10 Inch,,False
slide,unbranded,0.4922,False,0.0007,0.539,0.5078,3,2,prefix,#_# Slide Tru Hamper Box OF 4 Outer - The Tiny Tub,,False
lollo,unbranded,0.4571,False,0.0,0.9994,0.5429,1,1,inline,Lettuce Lollo Rosso,,False
quarry,unbranded,0.4378,False,0.0302,0.5622,0.9763,1,1,prefix,Quarry And Tile Floor Cleaner (120X2Oz),,False
laddle,unbranded,0.4301,False,0.0003,0.9983,0.5699,1,1,prefix,Laddle Chinese with wooden handle 4 inch,,False
cmc,unbranded,0.4301,False,0.4301,0.9334,0.7311,1,0,prefix,Cmc Powder,,False
mary,unbranded,0.4225,False,0.0,0.5775,0.6261,1,0,inline,ROSE MARY,,False
eggfree,unbranded,0.4149,False,0.4149,0.9917,0.9992,1,1,prefix,EGGFREE TEA TIME VANILLA MUFFIN,,False
gate,unbranded,0.3923,False,0.3923,0.848,0.9917,1,1,prefix,#_# Gate Pass Book,,False
gold,unbranded,0.3849,False,0.3849,0.9999,0.9976,7,7,inline|prefix,Camino Real Gold 750Ml,,False
yum,unbranded,0.3812,False,0.0001,0.9809,0.6188,1,1,inline,#_# Sticker - Sauce Dip Sticker Tangy Thai Tom Yum Sauce - Prasuma,,False
math,unbranded,0.3666,False,0.0197,0.9988,0.6334,1,1,inline,Moth / Math Atta - Flour - Moth Beans,,False
diya,unbranded,0.363,False,0.363,0.9932,0.9996,1,0,prefix,Diya Oil,,False
lltr,unbranded,0.3522,False,0.0,0.9982,0.6478,1,1,inline,Orange Juice 1 Lltr,,False
tikona,unbranded,0.3451,False,0.3451,0.9995,0.9993,1,1,prefix,Tikona Paratha,,False
stapler,unbranded,0.3416,False,0.0002,1.0,0.6584,1,0,prefix,#_# Stapler,,False
code,unbranded,0.3346,False,0.0,0.9124,0.6654,1,1,inline,COLOUR CODE DOTT TUES,,False
bopp,unbranded,0.3346,False,0.0,0.9999,0.6654,1,0,inline,340 MM BOPP ROLL,,False
kesar,unbranded,0.3208,False,0.0002,0.9944,0.6792,6,5,inline|prefix,KESAR,,False
sensor,unbranded,0.3141,False,0.0,0.9938,0.6859,1,1,inline,YU001517 Sensor Magnetiv 2 Nc,,False
stone,unbranded,0.2846,False,0.0003,0.7154,0.9979,1,1,prefix,Stone Flower(Dagad Phool),,False
vala,unbranded,0.2814,False,0.0276,0.9598,0.7186,1,1,inline,Noodle ( Thin Vala ),,False
chenin,unbranded,0.272,False,0.0,0.9968,0.728,1,1,inline,Grover Selecte Chenin Blanc 750 Ml,,False
chocopaste,unbranded,0.2689,False,0.0003,0.9999,0.7311,1,1,inline,GK-Morde - Hazelnut Chocopaste 1 Kg 140027,,False
baby,unbranded,0.2689,False,0.0001,1.0,0.7311,1,1,prefix,Baby Rawas,,False
mackeral,unbranded,0.2539,False,0.0,0.9999,0.7461,1,0,prefix,Mackeral 6/8,,False
sweetpotato,unbranded,0.248,False,0.0062,0.9998,0.752,1,1,prefix,Sweetpotato (Kanga),,False
rawa,unbranded,0.2422,False,0.0888,0.9999,0.7578,2,2,inline,IDLY RAWA,,False
dust,unbranded,0.2282,False,0.2282,1.0,0.9998,5,4,inline|prefix,Dust Pan  Supli,,False
register,unbranded,0.2282,False,0.2282,1.0,0.9999,1,1,inline,InWard Register,,False
road,unbranded,0.2227,False,0.0,0.9836,0.7773,1,1,inline,#_# Rocky Road Ice-cream Tub (100ml) - Meemees,,False
sheek,unbranded,0.22,False,0.011,0.9914,0.78,1,1,inline,STICKER SHEEK KABAB,,False
chavali,unbranded,0.2173,False,0.0695,0.9997,0.7827,1,0,prefix,Chavali Red,,False
mic,unbranded,0.1993,False,0.0,0.9996,0.8007,1,1,inline,Plastic Film Pouch 7*10 80 Mic,,False
peach,unbranded,0.1968,False,0.0,1.0,0.8032,3,2,inline,Monin Peach flavour,,False
protien,unbranded,0.1968,False,0.0,0.9996,0.8032,1,1,inline,#_# Double Cocoa Protien Bar - The Whole Truth,,False
grms,unbranded,0.1895,False,0.0,0.9999,0.8105,1,1,inline,Artichoke Tin 390 Grms,,False
xxxl,unbranded,0.1801,False,0.0,0.9974,0.8199,1,1,allcaps,Biryani Rice(1121 XXXL),,False
sindhura,unbranded,0.1755,False,0.0,0.9976,0.8245,1,1,inline,Mangoes (Sindhura) X1KG,,False
roti,unbranded,0.1733,False,0.0,1.0,0.8267,2,2,inline,Tawa Roti (7 inch),,False
disposible,unbranded,0.1561,False,0.0,1.0,0.8439,1,1,prefix,DISPOSIBLE GLOVES,,False
stirrer,unbranded,0.152,False,0.0,0.9533,0.848,1,1,prefix,#_# Stirrer - Murukku,,False
leaves,unbranded,0.152,False,0.0,1.0,0.848,4,3,inline,Lemon Leaves Fresh,,False
economy,unbranded,0.152,False,0.0124,0.848,0.9112,1,1,prefix,Economy - Staff Toor Dal 1 Kg (Non IP) 131965,,False
kung,unbranded,0.148,False,0.0,0.9993,0.852,1,1,prefix,Kung Pao Sauce 335 G,,False
chocochip,unbranded,0.1461,False,0.0,0.9999,0.8539,1,0,inline,Milk Chocochip,,False
pindi,unbranded,0.1441,False,0.0,0.9974,0.8559,1,1,inline,Shudh Garhwal - Khoya Pindi 1KG,,False
machine,unbranded,0.1403,False,0.0001,0.9999,0.8597,1,1,inline,Good Night Machine,,False
milakai,unbranded,0.1366,False,0.0,0.9988,0.8634,1,1,inline,AACHI KULAMBU MILAKAI STAFF,,False
kitchen,unbranded,0.1366,False,0.1366,0.9993,0.8903,3,3,inline|prefix,Scotch Brite - Rubber Kitchen Gloves,,False
lit,unbranded,0.1312,False,0.0,0.9991,0.8688,1,1,inline,MINERAL WATER BOTTLE 1 LIT SF,,False
air,unbranded,0.1312,False,0.003,0.99,0.8688,1,1,prefix,Air Freshener Godrej,,False
death,unbranded,0.1259,False,0.0474,0.8741,0.954,1,1,inline,#_# Jar - Death By Chocolate - Getaway,,False
ready,unbranded,0.1242,False,0.0,0.9945,0.8758,2,1,inline,RTE-Seths - Chinese Ready Schezwan Sauce (Frozen) 1 Kg,,False
broccoli,unbranded,0.1225,False,0.0,1.0,0.8775,1,0,prefix,Broccoli  incremental 0.5 10301,,False
designer,unbranded,0.1192,False,0.021,0.9196,0.8808,1,1,prefix,Designer Dummy,,False
peri,unbranded,0.1112,False,0.0,0.998,0.8888,4,2,inline,VKL PERI PERI MARINADE,,False
dummy,unbranded,0.1097,False,0.0402,0.9992,0.8903,1,1,inline,Designer Dummy,,False
keora,unbranded,0.1023,False,0.1023,1.0,0.9989,1,0,prefix,Keora Water 500Ml,,False
subji,unbranded,0.0954,False,0.0,1.0,0.9046,1,0,inline,Staff Subji,,False
pla,unbranded,0.094,False,0.0001,0.9985,0.906,1,1,allcaps,Fork PLA 160 mm,,False
