po_date,outlet_state,outlet_city,item_cat_l1,item_cat_l2,item_cat_l3,item_cat_l4,item_cat_l5,su_brand,brand,product_id,product_title,unit,quantity,price_inr,tax_pct,subtotal_amount_inr,tax_amount_inr,total_amount_inr,su_item_short_code,rn
2026-02-02 00:00:00.000 +0530,Haryana,Gurgaon,Groceries,Spices,Ground Spices,,,Unbranded,unbranded,60c4455ba4c315102ec5c5f1,Turmeric (Haldi) Powder Chounk,kg,150,0,0.05,0,0,0,AHAAAAIAAA,1
2026-02-17 00:00:00.000 +0530,Maharashtra,Mumbai,Breads & Bakery,Hazelnut Kernels,,,,Unbranded,Unbranded,687b733e382a1e9e69169ac3,#_# Sugar Free Chocolate Hazelnut Ice Cream Tub (125 ml) - Bina,piece,12,1,0,12,0,12,CNTHAAIAAA,1
2026-04-08 00:00:00.000 +0530,Maharashtra,Mumbai,Housekeeping,Scrubber,,,,Scotch Brite,Scotch Brite,68667a9a04f8369f451b5ca3,Scotch Brite - Rubber Kitchen Gloves,piece,0,31,0.18,0,0,0,APRAAKJAAA,1
2026-03-26 00:00:00.000 +0530,Karnataka,Bengaluru,Fresh Produce,Fruits & Vegetables,Fruits,Raw Mango,,Unbranded,unbranded,64897ee034ac6ef0eeb50e85,Dark Couverture 54%,kg,200,370,0.05,74000,3700,77700,CHUAAAIAAA,1
2026-03-13 00:00:00.000 +0530,Haryana,Gurugram,Housekeeping,Cleaner,Drain Cleaner,,,Unbranded,Unbranded,646cb68a5bcdca2e4253ce6a,SCOTCH BRITE  JUNA,piece,960,18,0.18,17280,3110.4,20390.4,AOSAAAIAAA,1
2026-02-28 00:00:00.000 +0530,Rajasthan,Jaipur,Grocery,Rice & Grains,Rice,Staff Rice,,,Unbranded,6311bdafaba12d5fd78a6a76,Thai Jasmine rice ,piece,4,325,0.05,1300,65,1365,AMEAAAIAAA,1
2026-04-10 00:00:00.000 +0530,Haryana,Gurugram,Breads & Bakery,Biscuits,Biscoff,,,Unbranded,unbranded,66c85fe4a9ce8204519fa2dd,Biscoff Biscuit Lotus,packet,6,110,0,660,0,660,ASUAAGVAAA,1
2026-01-12 00:00:00.000 +0530,Karnataka,Bengaluru,Dairy,Indian Cottage Cheese (Paneer),,,,Unbranded,unbranded,66729226e9958caad0efffb1,CINNAMON 1 KG,kg,0.5,300,0.05,150,7.5,157.5,ACTAAAIAAE,1
2026-01-17 00:00:00.000 +0530,Tamil Nadu,Chennai,Dairy,Butter,,,,Unbranded,unbranded,63c0f66a746a4d9708a94624,President Butter Unsalted 500gm,packet,20,313.39,0.12,6267.8,752.14,7019.94,APRAACMAAA,1
2026-03-23 00:00:00.000 +0530,Bihar,Patna,Dairy,Milk & Milk Alternatives,Oat Milk,,,Unbranded,unbranded,62794725b9f7587051756585,Milk,l,3,66,0,198,0,198,ADKAAAIAAB,1
2026-02-27 00:00:00.000 +0530,Karnataka,Bengaluru,Grocery,Oil & Fats,Olive Oil,Pomace Olive Oil,,Olive,unbranded,65c1ff4c1e92ef3ceb963667,Olive Oil (Regular /Pomace ),litre,6,305,0.05,1830,91.5,1921.5,AKAAAESAAB,1
2026-02-21 00:30:00.000 +0530,Punjab,Lahore,Packaging,Stickers,,,,Unbranded,unbranded,618e18fb8758df46ee770cfa,MRD Stickers,sheet,40,11,0,440,0,440,ASCAAAIAAA,1
2026-04-08 00:00:00.000 +0530,Tamil Nadu,Chennai,Groceries,Cooking & Baking Essentials,,,,Milk Food,unbranded,677e1a1ccd807f04bc115549,Milk Chocochip,packet,8,247.62,0.05,1980.96,99.05,2080.01,ABHAAAIAAA,1
2026-02-23 00:00:00.000 +0530,Karnataka,Bangalore,Kitchen Equipments,Lemon Zester,,,,Campa Lemon,Krispy Kreme,679b5fd1da6c0fb81da34c91,Lemon Ginger Syrup,litre,48,300,0.05,14400,720,15120,CNSIATEBAA,1
2026-03-09 00:00:00.000 +0530,Tamil Nadu,Chennai,Housekeeping,Cleaner,Drain Cleaner,,,Unbranded,unbranded,63c0f66b746a4d9708a94950,Urinal Pad,piece,2,106,0.18,212,38.16,250.16,AOSAAAIAAA,1
2026-02-23 00:00:00.000 +0530,Uttar Pradesh,Indirapuram,Breads & Bakery,"Wraps, Parathas & Base",Malabar Paratha,,,Unbranded,Unbranded,66c1af18d2983db8b3bcf135,Bombay pao,piece,48,4.3334,0,208,0,208,ACIAAAIAAA,1
2026-03-24 00:00:00.000 +0530,Uttar Pradesh,Noida,Frozen & Instant Food,Snacks,Papad,,,,Ksheer Sagar,687a162d6fb4e00ef02d52fe,Heeng Papdi 200g,piece,4,93,0.05,372,18.6,390.6,ATHAAGDAAA,1
2026-04-20 00:00:00.000 +0530,Tamil Nadu,Chennai,Housekeeping,Cleaner,,,,Unbranded,Unbranded,685ab54549d42aa1d171383d,Taski R5 5ltr,litre,10,250,0.18,2500,450,2950,AOVAAAIAAA,1
2026-03-16 00:00:00.000 +0530,Karnataka,Bengaluru,Packaging,Foil,,,,Unbranded,WVF,688373cbdb54a54c6653746a,DAILY FRESH MILLETS IDLI AND DOSA BATTER POUCH 1/2KG,piece,6260,9.5,0.18,59470,10704.6,70174.6,ARRAAAIAAA,1
2026-01-18 00:00:00.000 +0530,Maharashtra,Mumbai,Grocery,"Sauce, Spread, Dips & Vinegar",Sauce,Mustard Sauce,,Paras Spices,,642e9643d9796c53310af5b9,Staff Mustard Whole,kg,0,169.5,0.05,0,0,0,ANKAALVAAA,1
2026-04-29 00:00:00.000 +0530,Uttar Pradesh,Noida,,,,,,Unbranded,unbranded,63259272f806bcf6cf641894,MANGO PUREE,kg,10,1105,0.05,11050,552.5,11602.5,NONEAAIABE,1
2026-01-22 00:00:00.000 +0530,Haryana,Gurugram,Fresh Produce,Fruits & Vegetables,Vegetables,Peeled Onion,,Unbranded,unbranded,60c4455aa4c315102ec5b4e7,Magaj Big,kg,4,170,0.05,680,34,714,CDAAAAIAAA,1
2026-02-12 00:00:00.000 +0530,Maharashtra,Mumbai,Packaging,Bag,Garbage Bag,,,,,63dcbd798dd1d054abdf2906,Garbage Bag Big 30X50 Virgin,piece,24,19.67,0.18,472.08,84.97,557.05,AQXAAAIAAI,1
2026-02-28 00:00:00.000 +0530,Karnataka,Bengaluru,Packaging,Foil,,,,Unbranded,UNBRANDED,65eedadc1f6f494975fb4c94,PAPER COVER BROWN - PAPAD,piece,2500,0.6,0.18,1500,270,1770,ARRAAAIAAA,1
2026-01-16 00:00:00.000 +0530,Tamil Nadu,Chennai,Fruits & Vegetables,Vegetables,,,,Unbranded,unbrand,63cfa5e3d8bc5df67387a7a1,Red Yellow Capsicum Mixed,kg,1,250,0,250,0,250,CBOAAAIAAA,1
2026-02-07 00:00:00.000 +0530,Gujarat,Vadodara,Packaging,Box,Sandwich Box,,,Unbranded,Unbranded,66c5a72bbe45c74f2a45a33d,Cake Box (7*7*4),piece,1,10,0,10,0,10,ARFAAAIAAB,1
2026-04-04 00:00:00.000 +0530,Karnataka,Bengaluru,Grocery,Pulse,Chickpea,Kabuli Chana,,Unbranded,Unbranded,65d0a6564b2792afe280ff60,Kabuli Channa,piece,10,138,0,1380,0,1380,AKZAAAIAAB,1
2026-03-29 00:00:00.000 +0530,Haryana,Gurugram,Grocery,Noodles & Pasta,Pasta,Penne Pasta,,Unbranded,unbranded,66c85fe9a9ce8204519fb0ed,Tahina Paste,packet,4,295,0.05,1180,59,1239,AJUAAAIAAA,1
2026-01-07 00:00:00.000 +0530,Maharashtra,Mumbai,Grocery,"Masala, Salt, Sugar & Spices",Masala,Turmeric Powder (Haldi),,,OUTLET,658eafb74155c07e2ec5f503,Lobo - 5 Spice Powder 65 gm 51547,piece,1,95,0.05,95,4.75,99.75,AHAAAIPAAA,1
2026-01-08 00:00:00.000 +0530,Delhi,Delhi,Packaging,Stickers,,,,Best Mutton,unbranded,65c078e4e0f65923488d0d0f,Sticker Mutton Haleem,piece,3168,0.11,0.18,348.48,62.73,411.21,ASCAAAIAAB,1
2026-02-27 00:00:00.000 +0530,Tamil Nadu,Chennai,Housekeeping,Air Freshener,Room Freshener,,,Unbranded,Unbranded,687e39d41c394ab2a285c421,Plastic Oven Bowl 2200 ml,piece,4,91,0.18,364,65.52,429.52,APNAAAIAAA,1
2026-02-19 00:00:00.000 +0530,Tamil Nadu,Chennai,#SPILL!,,,,,Unbranded,unbranded,63c0f66b746a4d9708a94b74,Raw Banana- Nos,piece,10,4,0,40,0,40,CDEAAAIAAA,1
2026-04-24 00:00:00.000 +0530,Maharashtra,Pune,Other,Mouth Freshener,,,,Unbranded,unbranded,62794725b9f7587051756539,Disposal Cap (Pkt),packet,5,59,0.05,295,14.75,309.75,AQLAAAIAAA,1
2026-04-03 00:00:00.000 +0530,Tamil Nadu,Chennai,Packaging,Printer Roll,,,,Unbranded,Unbranded,689ad3ab12b3f9d92589dc77,InWard Register,piece,1,390,0.18,390,70.2,460.2,ARYAAAIAAA,1
2026-03-16 00:00:00.000 +0530,Tamil Nadu,Chennai,Ready to Eat,Potato Flakes,,,,Unbranded,unbranded,65c0d0b57e75e86fb4445f61,Potato Flakes 1kg pkt,packet,1,200,0.05,200,10,210,BZCAAEBAAA,1
2026-02-28 00:00:00.000 +0530,Haryana,Gurugram,Packaging,Spoon,,,,Unbranded,Unbranded,686280b637d57aa8b4e9f0c1,DESERT SPOON 12GTIDY,dozen,3,480,0.18,1440,259.2,1699.2,ARPAAAIAAD,1
2026-04-04 00:00:00.000 +0530,Karnataka,Bengaluru,Groceries,"Sauces, Spreads & Condiments",Sauce,,,Maggi,unbranded,674ff8ed22c435a2af2a3579,Maggi Seasoning Sauce 680Ml,litre,6,185,0.05,1110,55.5,1165.5,AMVAAHAAAC,1
2026-04-20 00:00:00.000 +0530,Maharashtra,Mumbai,Fruits & Vegetables,Vegetables,Nightshades,Green Chilli,,,,63dcbd798dd1d054abdf2b82,Green Chillies,kg,0.25,70,0,17.5,0,17.5,CCKAAAIAAA,1
2026-03-01 00:00:00.000 +0530,Maharashtra,Mumbai,Grocery,Flour,Pizza Flour,,,Unbranded,unbranded,65c1ff5b1e92ef3ceb96aca6,Pizza Base 8 inch Whole Wheat Pan Crust (Junos),piece,120,27,0,3240,0,3240,BYYAAAIAAA,1
2026-01-20 00:00:00.000 +0530,Uttar Pradesh,Noida,Packaging,Tape,,,,Unbranded,unbranded,63259272f806bcf6cf641850,Topper,piece,380,10,0,3800,0,3800,ASFAAAIAAD,1
2026-03-06 00:00:00.000 +0530,Rajasthan,Jaipur,Grocery,Rice & Grains,Rice,Staff Rice,,Unbranded,Unbranded,617a973e43602d121f2cea40,Staff Subji,kg,4,30,0,120,0,120,AMEAAAIAAA,1
2026-03-04 00:00:00.000 +0530,Karnataka,Bangalore South,Fresh Produce,Fruits & Vegetables,Vegetables,Brinjal,,Unbranded,unbranded,65c0d0c97e75e86fb4448510,Brinjal   Black,kg,2,55,0,110,0,110,CAWAAAIAAA,1
2026-02-02 00:00:00.000 +0530,Maharashtra,Mumbai,Grocery,Pulse,Split Red Lentil (Red Masoor Dal),,,Unbranded,Unbranded,67b585f5059353f46fd52e6c,#_# Griselda's Red Velvet Sticker (Eggless) - Cookie Cartel,piece,7,1,0,7,0,7,ALNAAAIAAB,1
2026-04-02 00:00:00.000 +0530,Haryana,Gurugram,Packaging,Cup,Tea Cup,,,Unbranded,unbranded,66333d457a904c6644279613,Canteen Tea Cup (130ML),piece,200,1.1,0.18,220,39.6,259.6,COBRATESAA,1
2026-03-20 00:00:00.000 +0530,Tamil Nadu,Chennai,Others,,,,,Unbranded,unbrand,63cfa3ecf7364dfe4741feeb,Pokchay,kg,0.5,200,0,100,0,100,AHYAADRAAA,1
2026-03-16 00:00:00.000 +0530,Delhi,Delhi,"Poultry, Meat & Seafood",Chicken,,,,Unbranded,unbranded,630327b63ac25f212482fe2a,CHICKEN LEG RAW,kg,10.5,208,0,2184,0,2184,ASIAAAIAAC,1
2026-03-19 00:00:00.000 +0530,Maharashtra,Mumbai,Dairy,Cheese,Brie Cheese,,,Unbranded,unbranded,6656fb7e58d14900590128c1,#_# Sakura Blossom Gateaux (125 Gms) - Ether,piece,3,343.224,0,1029.67,0,1029.67,BXHAADUAAA,1
2026-03-26 00:00:00.000 +0530,Maharashtra,Navi Mumbai,Fresh Produce,Fruits & Vegetables,Vegetables,Root Vegetables,Galangal (Thai Ginger),Unbranded,Unbranded,6756a395ed5c7034e0fdf3d2,TL Slicer Cutter,piece,10,500,0.18,5000,900,5900,CNVMAAIAAA,1
2026-01-31 00:00:00.000 +0530,Karnataka,Bengaluru,Groceries,Packaged Food,,,,Safetouch,Chaat Street,65c1ff0f1e92ef3ceb9484e7,Fine Sev,kg,100,140,0.05,14000,700,14700,BWZAAOYAAA,1
2026-05-01 00:00:00.000 +0530,Gujarat,Ahmedabad,Beverages,Drinking Water,,,,,Water,63ae82608bb0b00431858225,R.O Water Bottles (20 Ltrs),bottle,200,20,0,4000,0,4000,ABDAABNAAD,1
2026-03-30 00:00:00.000 +0530,Maharashtra,Mira-Bhayandar,Breads & Bakery,Hazelnut Kernels,,,,Unbranded,unbranded,6656fb7c58d1490059012111,#_# XYLITOL Chocolate Hazelnut Icecream (600ML) - Bina,piece,2,449.1,0,898.2,0,898.2,CNTHAAIAAA,1
2026-01-07 00:00:00.000 +0530,Goa,Panaji,Housekeeping,Bottle Brush,,,,Unbranded,unbranded,66c84ce5cda2b0403c3f0573,J and B Rare,bottle,1,1418.75,0,1418.75,0,1418.75,AONAAAIAAA,1
2026-03-05 00:00:00.000 +0530,Karnataka,Mysore,Housekeeping,Chlorine Liquid,,,,Unbranded,unbrand,63cfa1d0d8bc5df67386a6d7,Chlorin Liquid,litre,60,35,0.18,2100,378,2478,BYHAAAIAAA,1
2026-03-23 00:00:00.000 +0530,Haryana,Gurugram,Grocery,Rice & Grains,Rice,Basmati Rice,Golden Sella Basmati Rice,Golden,unbranded,66c85ff4a9ce8204519fc8a5,Golden Dust,piece,4,120,0,480,0,480,ALYAAAIAAA,1
2026-02-07 00:00:00.000 +0530,Maharashtra,Mumbai,Packaging,"Non - Veg Logo Thermal 3""4",,,,Unbranded,unbranded,67bb0238ac87711fa4660c00,#_# Slide Tru Hamper Box OF 4 Outer - The Tiny Tub,piece,10,1,0,10,0,10,CNJAAAIAA,1
2026-01-12 00:00:00.000 +0530,Gujarat,Vadodara,Groceries,Staples,Flour,,,Unbranded,unbranded,6666fc92cc967db927b8242c,Moth / Math Atta - Flour - Moth Beans,kg,3,140,0,420,0,420,AEVAAAIAAB,1
2026-03-27 00:00:00.000 +0530,Delhi,Delhi,Packaging,Fork,,,,Unbranded,Unbranded,6850f1e5d1108388ae155d3d,Fork PLA 160 mm,piece,2000,1.5,0.18,3000,540,3540,AROAAAIAAA,1
2026-03-09 00:00:00.000 +0530,Karnataka,Bengaluru,Breads & Bakery,Hot Dog Buns,,,,Unbranded,Unbranded,64ba8327f519f6b50ea9b827,Hot Dog Bun 55g L 160mm X W 55mm,piece,88,10,0,880,0,880,BLZAAMZAAA,1
2026-01-10 00:00:00.000 +0530,Haryana,Gurgaon,Groceries,Spices,,,,Unbranded,unbranded,60c44559a4c315102ec5b39a,Ajinomato,kg,20,120,0.18,2400,432,2832,CDKAAAIAAA,1
2026-01-05 00:00:00.000 +0530,Delhi,Delhi,Groceries,Spices,Seeds,Cumin Seeds,,Unbranded,unbranded,65c078d3e0f65923488cf5e0,Cumin Seeds,kg,10,266.67,0.05,2666.7,133.34,2800.04,AFWAAAIAAA,1
2026-04-19 00:00:00.000 +0530,Delhi,Delhi,#SPILL!,,,,,Unbranded,unbranded,630327b73ac25f212482feb6,PAPAYA,kg,68,35,0,2380,0,2380,CNVKAAIAAA,1
2026-03-07 00:00:00.000 +0530,Tamil Nadu,Chennai,,,,,,Unbranded,unbrand,63cfa3ecf7364dfe4742046f,Frozen Fruit Raspberry,kg,1,1100,0.05,1100,55,1155,NONEAAIAAY,1
2026-02-12 00:00:00.000 +0530,Goa,Panaji,Packaging,Stickers,,,,Unbranded,Unbranded,67ffe73767d7d98f5824e87c,Bed Sheet,piece,3,150,0,450,0,450,ASCAAAIAAA,1
2026-01-17 00:00:00.000 +0530,Jammu & Kashmir,Jammu,,,,,,Unbranded,Unbranded,646631735c1cd16b56595098,Twinings strawberry green tea,packet,5,356.5,0,1782.5,0,1782.5,NONEAAIAAR,1
2026-02-14 00:00:00.000 +0530,Maharashtra,Andheri East,"Poultry, Meat & Seafood",Chicken,,,,Unbranded,Unbranded,602fba3763525d4b84a5dbc0,CHICKEN KEEMA FOR SEEKH,kg,0,325,0,0,0,0,ASIAAAIAAC,1
2026-03-18 00:00:00.000 +0530,Karnataka,Bengaluru,Housekeeping,Soap Oil,,,,Unbranded,Unbranded,65d0a6524b2792afe280ee6c,Fryola Oil,kg,135,153.650666,0.05,20742.84,1037.14,21779.98,BYEAAAIAAA,1
2026-04-23 00:00:00.000 +0530,Delhi,Delhi,Packaging,Butter Paper,,,,Madhusudan,Unbranded,66daa09653780600bdda941a,Madhusudan Butter,kg,15,506,0.05,7590,379.5,7969.5,ARJAAAIAAE,1
2026-02-07 00:00:00.000 +0530,Karnataka,Bengaluru,Breads & Bakery,"Cake, Brownies, Lavas and Desserts",Gulab Jamun,,,Unbranded,Unbranded,68dbb8ab1421fc357fe6eac4,Gulab Jamun (Wyn),piece,20,15,0.05,300,15,315,ACEAAMTAAA,1
2026-04-25 00:00:00.000 +0530,Maharashtra,Mumbai,Grocery,"Sauce, Spread, Dips & Vinegar",Sauce,Pepper Sauce,,Unbranded,unbranded,6847ce11c86027d9d440a806,Sweets Pcs. Rasmalai,piece,10,35.15,0.05,351.5,17.57,369.07,ANNAAAIAAA,1
2026-02-05 00:00:00.000 +0530,Karnataka,Bengaluru,Grocery,"Masala, Salt, Sugar & Spices",Spices,Red Paprika,,,DELMONTE/FRUTIN /ENTR%uFFFDE,5fce161a8c37c436a4c8ed80,RED PAPRIKA SLICED -840 GM,tin,2,87.62,0.05,175.24,8.76,184,AJAAACQAAA,1
2026-01-16 00:00:00.000 +0530,Maharashtra,Mumbai,Prepared Food,Ready to Eat,,,,Unbranded,Unbranded,678e46e2438f7455ebd308de,#_# Soaked Chia - The Whole Truth,gm,400,1,0,400,0,400,AAIAALHAAA,1
2026-02-26 00:00:00.000 +0530,Delhi,Delhi,Beverages,Soda,,,,Unbranded,Unbranded,66bf18cb888b89ca85c6b2d2,Soda Water Kinley 750 ml,case,8,296.61,0.05,2372.88,118.64,2491.52,AAWAAGFAAC,1
2026-03-17 00:00:00.000 +0530,Maharashtra,Mumbai,,,,,,Unbranded,unbranded,67cede0eaa24f1873936e9bd,#_# Tango Mango - Anando,piece,3,1,0,3,0,3,NONEAAIABD,1
2026-02-01 00:00:00.000 +0530,Maharashtra,Mumbai,Dairy,Milk & Milk Alternatives,Oat Milk,,,Milk Food,Unbranded,66de89fbef4ea41582639fc9,Fresh Milk (Full Cream),litre,500,68,0,34000,0,34000,ADKAAAIAAB,1
2026-03-23 00:00:00.000 +0530,West Bengal,Kolkata,#SPILL!,,,,,Unbranded,unbranded,64256b23984c5126dfb58c54,Food Colours Splash 200g Assorted,kg,15,830,0.18,12450,2241,14691,CDEAAAIAAA,1
2026-03-17 00:00:00.000 +0530,Maharashtra,Mumbai,Dairy,Indian Cottage Cheese (Paneer),,,,Unbranded,Unbranded,618f924e9a4770701f9b90b3,Milkhana Melted Cheese,packet,12,190,0.05,2280,114,2394,ACTAAAIAAC,1
2026-04-27 00:00:00.000 +0530,Maharashtra,Mumbai,Housekeeping,Soap Oil,,,,Unbranded,unbranded,6656fb8558d1490059014b2c,#_# Sticker - Sauce Dip Sticker Crunchy Chilli Oil - Prasuma,piece,200,0.36,0,72,0,72,BYEAAAIAAA,1
2026-02-26 00:00:00.000 +0530,Jammu & Kashmir,Jammu,,,,,,Unbranded,Unbranded,6460d37a6ed68abe7fd33225,POTATO STARCH,packet,8,127,0,1016,0,1016,NONEAAIAAE,1
2026-01-16 00:00:00.000 +0530,Haryana,Gurugram,Others,,,,,Unbranded,unbranded,6539ff1ec2dc4d02ba4ee7f3,MAPRO BLACK CURRANT 1 LTR,bottle,0,287.5,0.05,0,0,0,ALOAAAIAAE,1
2026-03-14 00:00:00.000 +0530,Maharashtra,Mumbai,Packaging,Butter Paper,,,,Unbranded,Unbranded,602fba3663525d4b84a5d7c7,CELLOFIN PAPER,kg,10,180,0.18,1800,324,2124,ARJAAAIAAE,1
2026-03-23 00:00:00.000 +0530,Maharashtra,Mumbai,Packaging,Butter Paper,,,,Unbranded,Unbranded,64ba8327f519f6b50ea9b60f,Paper Cup Holder,piece,15200,2.2,0.05,33440,1672,35112,ARJAAAIAAE,1
2026-04-13 00:00:00.000 +0530,Kerala,Kochi,Packaging,Spray Bottle,,,,Unbranded,Unbranded,680e1e428f1dc1d3d9602dc0,BARDINET BRANDY 1000 ML,bottle,2,2885,0,5770,0,5770,ASBAAAIAAA,1
2026-04-27 00:00:00.000 +0530,Maharashtra,Mumbai,Fresh Produce,Fruits & Vegetables,Fruits,Tropical Fruits,Coconut,Unbranded,Unbranded,68492104c5fc097112e40814,#_# Tender Coconut Litchi Ice Pop - Getaway,piece,24,1,0,24,0,24,CGUAAAIAAB,1
2026-04-17 00:00:00.000 +0530,Haryana,Gurugram,Packaging,Bag,,,,Unbranded,unbranded,66c85fdda9ce8204519f9245,Number Candles,piece,30,15,0,450,0,450,AQYAAAIAAA,1
2026-03-19 00:00:00.000 +0530,Tamil Nadu,Chennai,#SPILL!,,,,,Unbranded,unbranded,63c0f66b746a4d9708a94b4c,Papaya,kg,1,45,0,45,0,45,CNVKAAIAAA,1
2026-02-18 00:00:00.000 +0530,Karnataka,Bengaluru,Groceries,"Sauces, Spreads & Condiments",Pickle,,,Unbranded,unbranded,67dab7acb5156b62dae97e38,Mixed Veg Pickle (5 kg)-Snacc,piece,2,250,0.05,500,25,525,AQQAAEDAAA,1
2026-03-19 00:00:00.000 +0530,Tamil Nadu,Chennai,Other,Cooking Wine,,,,Unbranded,Unbranded,63eb5b6d3461481b641f8d49,Cooking White Wine 750ml,bottle,2,625,0.12,1250,150,1400,AQDAAAIAAD,1
2026-02-05 00:00:00.000 +0530,Haryana,Gurugram,Fresh Produce,Fruits & Vegetables,Vegetables,Corn,Sweet Corn,Unbranded,Unbranded,61f7aa63a3342e1c94a9439b,SPINCACH,kg,100,25,0,2500,0,2500,ADSAAAIAAB,1
2026-04-24 00:00:00.000 +0530,Maharashtra,Pune,Packaging,Bag,Garbage Bag,,,Unbranded,Unbranded,64914d529802ecb8810f50ee,Cake Base 5.5x5.5 Plain,piece,2000,4.25,0.18,8500,1530,10030,AQXAAAIAAA,1
2026-01-06 00:00:00.000 +0530,Maharashtra,Mumbai,Grocery,"Masala, Salt, Sugar & Spices",Seasoning,Oregano Seasoning,,Orange,All Brands,65c1ff1b1e92ef3ceb94da6f,Oregano Herbs (Seasoning ),kg,1,240,0.05,240,12,252,AHYAAICAAA,1
2026-04-21 00:00:00.000 +0530,Tamil Nadu,Chennai,Grocery,Pulse,Split Yellow Lentil (Moong Dal Dhuli),,,Unbranded,Unbranded,650820ac1ee64d3840a90702,Yellow Moong dal,kg,2,119,0,238,0,238,ALGAAAIAAB,1
2026-04-11 00:00:00.000 +0530,Maharashtra,Mumbai,Beverages,Soda,,,,Kinley,All Brands,65c1fefa1e92ef3ceb93df69,Soda Kinley,piece,240,15.83,0.05,3799.2,189.96,3989.16,AAWAAGFAAC,1
2026-04-13 00:00:00.000 +0530,Maharashtra,Andheri East,Groceries,Spices,,,,Everest,Everest,63dcbd798dd1d054abdf2b1e,Tandoori Masala Powder,packet,2,82,0.05,164,8.2,172.2,AFVAADJAAA,1
2026-04-14 00:00:00.000 +0530,Karnataka,Bengaluru,Packaging,Butter Paper,,,,Unbranded,UNBRANDED,65eedadc1f6f494975fb4cf4,PAPER COVER BROWN -S - CHUTNEY,kg,30,72,0.18,2160,388.8,2548.8,ARJAAAIAAE,1
2026-04-29 00:00:00.000 +0530,Maharashtra,Mumbai,,,,,,Unbranded,Unbranded,6811bfa131646319cbdad338,#_# Mango Biscoff Tub - Sassy Teaspoon,piece,2,1,0,2,0,2,NONEAAIABE,1
2026-03-05 00:00:00.000 +0530,Haryana,Gurugram,Others,,,,,Unbranded,Unbranded,60548692e7c50e7a1bda93ab,KALI MASOOR,kg,2,130,0,260,0,260,ALOAAAIAAE,1
2026-04-14 00:00:00.000 +0530,Maharashtra,Mumbai,Dairy,Milk & Milk Alternatives,Oat Milk,,,Milk Food,unbranded,680d2db60c91f979458d6144,#_# Plain Milk Chocolate Bar 41% [65 g] - Entisi Chocolatier,piece,5,1,0,5,0,5,ADKAAAIAAB,1
2026-04-03 00:00:00.000 +0530,Delhi,New Delhi,Beverages,Juice,Orange Juice,,,Orange,Real,649404f4a1d38a9a35d8b558,Orange Juice 1 Lltr,litre,2,104,0.05,208,10.4,218.4,AARAAJUAAA,1
2026-03-11 00:00:00.000 +0530,Karnataka,Bengaluru,Housekeeping,Scrubber,,,,Scotch Brite,UNBRANDED,65eedae71f6f494975fb7346,SCOTCH BRITE - SOFT SPONGE,piece,12,12.5,0.18,150,27,177,APRAAKJAAA,1
2026-01-07 00:00:00.000 +0530,Karnataka,Bangalore East,Other,Mixed Pickle,,,,Unbranded,unbrand,63cfa624ecdf17fdb5b65081,Pickle Mixed 5Kgs Jar,jar,8,292.38,0.05,2339.04,116.95,2455.99,AQQAAJOAAA,1
2026-03-16 00:00:00.000 +0530,Karnataka,Bengaluru,Housekeeping,Dish Wash,,,,Unbranded,Unbranded,65f2c558885cb8c11494fd4f,Vinyl Sticker 2x1.5 Ft,piece,1,2800,0.18,2800,504,3304,AOYAAAIAAA,1
2026-01-12 00:00:00.000 +0530,Maharashtra,Mumbai,Grocery,Flour,Pizza Flour,,,Unbranded,Unbranded,66f17cac906532b9bcb0f13b,Veggie Pizza Pocket,packet,36,277,0.05,9972,498.6,10470.6,BYYAAAIAAA,1
2026-04-22 00:00:00.000 +0530,Gujarat,Vadodara,Grocery,Pulse,Soya Chunks,,,Unbranded,unbranded,6666fc95cc967db927b831ce,Soyabeen Chunks-Soya Chunks,kg,3,80,0,240,0,240,ALLAAAIAAB,1
2026-02-23 00:00:00.000 +0530,Maharashtra,Pune,Other,Mixed Pickle,,,,Scotch Brite,All Brands,65c1ff1c1e92ef3ceb94eb2b,Pickle Sachet,piece,12000,0.99,0.05,11880,594,12474,AQQAAJOAAC,1
2026-04-23 00:00:00.000 +0530,Maharashtra,Mumbai,Beverages,Coffee,Coffee Powder,,,Unbranded,Unbranded,687f543fcf4242b2c0ce9f18,#_# Sugar Free Coffee Almond Ice Cream Tub (125 ml) - Bina,piece,4,1,0,4,0,4,AAEAAAIAAA,1
2026-04-24 00:00:00.000 +0530,Karnataka,Bengaluru,Kitchen Equipments,Stock Pot,,,,Unbranded,unbranded,65c0d0c77e75e86fb4447f2a,COOK POT SS WITH LID 36*20  20LTR,piece,1,7434,0.05,7434,371.7,7805.7,CNTAATEBAA,1
2026-04-24 00:00:00.000 +0530,Haryana,Gurugram,Dairy,Indian Cottage Cheese (Paneer),,,,Unbranded,Unbranded,6836f92f14e550d3c75cfaf6,PERFECT NO-BAKE CHEESECAKE MIX (1KG),kg,1,510,0.05,510,25.5,535.5,ACTAAAIAAC,1
2026-01-12 00:00:00.000 +0530,Karnataka,Bengaluru,Packaging,Spray Bottle,,,,Unbranded,unbranded,66729225e9958caad0effe91,HAMDARD ROOHAFZA 750ML,bottle,1,150,0.05,150,7.5,157.5,ASBAAAIAAA,1
