title,sonnet_label,brandname,old_conf_4o,score,expected_score,digit_mass,verifier_reasoning,opus_label
Paper Cup 350ml (10'' Oz) FLYP,Branded,FLYP,0.0,8,7.683,1.0,"The reasoning is strong, as 'FLYP' is positioned at the end of the product title, which is a common placement for brand names in product listings. The other elements ('Paper Cup', '350ml', '10 Oz') are indeed descriptive, supporting the conclusion that 'FLYP' is the brand. However, without external verification of 'FLYP' as a known brand, there is a minor gap in certainty. The reasoning aligns well with the input and typical catalog patterns, justifying a high confidence score.",Branded
Long Note Book 200 Pgs Chandras SB,Branded,Chandra's,0.4571,8,7.708,1.0,"The reasoning is strong, as ""Chandra's"" is identified as a well-known Indian stationery brand, which supports the classification of the product as branded. The explanation of ""SB"" as a potential product variant code and ""200 Pgs"" as the page count is logical and aligns with typical product descriptions. However, the reasoning could be slightly improved by providing more specific evidence or references to confirm ""Chandra's"" as a recognized brand, which would elevate the certainty to a 9.",Branded
Gulab Jamun (Wyn),Branded,Wyn,0.0007,8,7.714,1.0,"The reasoning is strong, as the use of parentheses in product titles often indicates a brand name in B2B catalogs. 'Gulab Jamun' is a common product that can be branded or unbranded, and 'Wyn' fits the pattern of a brand identifier. However, without specific evidence of 'Wyn' as a known brand, there is a minor gap in verification. The reasoning aligns well with typical catalog practices, but the lack of independent verification of 'Wyn' as a brand name prevents a perfect score.",Branded
BANARASI LAL PEDA-200 Gms,Branded,Banarasi Lal,0.0016,8,7.728,1.0,"The reasoning is strong, as ""Banarasi Lal"" is presented as a proper name, suggesting it could be a brand or a well-known sweet shop, especially given the context of Indian sweets and the association with Banaras (Varanasi). The explanation about naming conventions in Indian B2B food catalogs supports the branded classification. However, without external verification of ""Banarasi Lal"" as a specific brand, there remains a minor gap in certainty. The reasoning is logical and aligns with common practices, but lacks definitive external confirmation of the brand's existence.",Branded
RTE-Seths - Chinese Ready Schezwan Sauce (Frozen) 1 Kg,Branded,Seths,0.0033,8,7.728,0.9999,"The reasoning is strong, as it identifies 'Seths' as a likely brand name based on its placement in the product title and the use of a dash separator, which is a common convention for separating brand names from product descriptions. The explanation also considers the context of a B2B/food-service catalog, where such branding is typical. However, the reasoning assumes 'Seths' is a brand without external verification, which is a minor gap. The model's interpretation is plausible and well-supported by the input, but lacks independent confirmation of 'Seths' as a brand.",Branded
#_# Cone - Dark Chocolate [ 120 ml ] - Getaway,Branded,Getaway,0.0967,8,7.742,0.9999,"The reasoning is strong, as the placement of 'Getaway' at the end of the product title aligns with common catalog naming conventions where the brand name follows the product description. The model correctly identifies 'Getaway' as a likely brand name, supported by the structured format of the title. However, without external verification of 'Getaway' as a known brand, there is a minor gap in certainty. The reasoning is logical and well-supported by the input structure, but lacks independent confirmation of 'Getaway' as a brand.",Branded
Shudh Garhwal - Khoya Pindi 1KG,Branded,Shudh Garhwal,0.0022,8,7.751,1.0,"The reasoning is strong, as ""Shudh Garhwal"" is likely a brand name given the structured format and the use of ""Shudh"" (meaning pure) which is common in branding, especially for dairy products. The mention of ""Garhwal"" suggests a geographic origin, which is often used in brand names. The explanation aligns with typical branded product listings in B2B catalogs. However, without external verification of ""Shudh Garhwal"" as a registered brand, there is a minor gap in certainty.",Branded
A-005 Grill and Oven Cleaner ACTON,Branded,ACTON,0.6584,8,7.763,0.9999,"The reasoning is strong, as 'ACTON' is identified as a known brand in the cleaning products segment, and its placement at the end of the product title aligns with common B2B catalog patterns. The interpretation of 'A-005' as an internal SKU or product code is plausible, and the suggestion that it might correspond to ACTON's product line code adds credibility. However, the reasoning assumes 'ACTON' is a known brand without providing specific evidence or sources, which slightly weakens the certainty. Overall, the output is well-supported but not entirely conclusive.",Branded
#_# Guava Pop (70 ML) - Noto,Branded,Noto,0.4036,8,7.774,1.0,"The reasoning is strong, as it identifies a common pattern in product naming where the brand follows the product description, which is consistent with the input format. 'Noto' is treated as a brand name, which is plausible given the context. However, without external verification of 'Noto' as a known brand, there is a minor gap in certainty. The reasoning effectively uses the structure of the input to support the classification as branded.",Branded
#_# Griselda's Red Velvet Sticker (Eggless) - Cookie Cartel,Branded,Cookie Cartel,0.7432,8,7.778,0.9999,"The reasoning is strong, as ""Cookie Cartel"" is identified as a brand name, and the structure of the product title supports this interpretation. The mention of ""Griselda's"" as a potential sub-line or recipe within the brand is plausible. The explanation of the eggless specification catering to the Indian market is reasonable. However, the claim that Cookie Cartel is a known brand is not independently verifiable without additional context or evidence. The reasoning is mostly sound, but the lack of external verification for the brand name slightly weakens the conclusion.",Branded
#_# Sugar Free Chocolate Hazelnut Ice Cream Tub (125 ml) - Bina,Branded,Bina,0.0076,8,7.789,1.0,"The reasoning is strong, as the use of a dash followed by 'Bina' aligns with common patterns in product listings where the brand name is appended at the end. The product being a specialty item like sugar-free ice cream also supports it being branded. However, without external verification of 'Bina' as a known brand, there remains a minor gap in certainty. The reasoning effectively uses structural patterns and product type to justify the branding decision.",Branded
Milkhana Melted Cheese,Branded,Milkhana,0.0248,8,7.79,1.0,"The reasoning provided is strong and well-supported by the input. The model identifies ""Milkhana"" as a likely brand name based on its position and structure in the product title, which is a common pattern in branded product listings. The explanation about the naming convention and the potential derivation of ""Milkhana"" from ""Milk"" aligns with typical branding practices in the Indian dairy industry. However, without external verification of ""Milkhana"" as an actual brand, there remains a minor gap in certainty, preventing a perfect score.",Branded
Ciclo Printed Cake Box 2Pc,Branded,Ciclo,0.0759,8,7.795,1.0,"The reasoning provided is strong, as it identifies 'Ciclo' as a known brand in the Indian market, particularly in packaging and stationery, which aligns with the product type (cake box). The explanation about the convention of listing brand names first in product titles in Indian B2B catalogs supports the classification as branded. However, the connection to the Camlin/Kokuyo group is not directly verified in the reasoning, leaving a minor gap. Overall, the reasoning is well-supported by the input and general knowledge of branding conventions.",Branded
San Marzano - Pomace Olive Oil,Branded,San Marzano,0.0069,8,7.822,1.0,"The reasoning is strong, as ""San Marzano"" is indeed a recognizable name associated with quality Italian products, and the format ""[Brand Name] - [Product Type]"" is a common naming convention in B2B catalogs. The explanation about pomace olive oil's use in Indian food service contexts adds context. However, the reasoning could be slightly improved by acknowledging the possibility of ""San Marzano"" being used descriptively rather than as a brand, given its strong association with tomatoes. Nonetheless, the overall argument for it being branded is compelling.",Branded
Jain Hing Powder,Branded,Jain,0.6826,8,7.83,0.9999,"The reasoning is strong, as it correctly identifies the pattern of [Brand Name] + [Product Name] common in Indian B2B catalogs. 'Jain' is a plausible brand name, given the context of Indian spices and the presence of brands like Jain Foods. The explanation about 'Jain' not being a dietary descriptor is logical, as such descriptors are usually more explicit. However, without specific evidence of a brand named 'Jain' selling hing powder, there is a minor gap in certainty. The reasoning is well-structured and aligns with common naming conventions, supporting the conclusion effectively.",Branded
CELLOFIN PAPER,Branded,Cellofin,0.1733,8,7.835,1.0,"The reasoning provided is strong and well-supported by the input. The model identifies ""CELLOFIN"" as a proper noun and a likely brand name, which aligns with the typical structure of branded product titles (Brand Name + Product Type). The capitalization and the specific naming convention further support the branding conclusion. However, the reasoning could be slightly improved by providing more concrete evidence or references to the brand's existence in the market, which would elevate the confidence to a 9. Nonetheless, the analysis is logical and consistent with the input.",Branded
11.5x11.5 (Round) Sandhouse Butter paper (40GSM),Branded,Sandhouse,0.0028,8,7.838,1.0,"The reasoning is strong, as 'Sandhouse' is positioned in a way that suggests it is a brand name, following a common pattern in product titles where the brand precedes the product description. The capitalization and placement between size and product type are typical for branded items. However, without external verification, there remains a minor gap in confirming 'Sandhouse' as a recognized brand, which slightly reduces certainty.",Branded
EVD DAIRY WHITENER 1 KG,Branded,EVD,0.0001,8,7.84,1.0,"The reasoning provided is strong and well-supported by the input. The use of ""EVD"" as a prefix suggests it is a brand name, following common naming conventions where the brand precedes the product type. The explanation that ""Dairy Whitener"" is a product category and ""1 KG"" is the pack size is logical. The reasoning also considers the context of an Indian B2B market, where regional or private-label brands are common. However, without external verification of ""EVD"" as a brand, there is a minor gap in certainty, preventing a perfect score.",Branded
White sesame Seeds 100G - Sancc,Branded,Sancc,0.0009,8,7.885,1.0,"The reasoning is strong, as it identifies ""Sancc"" as a potential brand name based on its placement after a hyphen, a common pattern for brand identification in product titles. The argument that the specific packaging size (100G) suggests a branded product is also valid, as branded products often come in standardized packaging. However, without external verification of ""Sancc"" as a known brand, there is a minor gap in certainty. The reasoning is well-supported by the input and common catalog practices, but lacks independent verification of ""Sancc"" as a brand.",Branded
MRD Stickers,Branded,MRD,0.539,8,7.931,1.0,"The reasoning is strong, as ""MRD"" is presented as a distinct prefix before ""Stickers,"" suggesting it functions as a brand name. The explanation that MRD is known in Indian B2B contexts for stationery and labeling products supports the branding claim. However, without external verification of MRD as a brand, there is a minor gap in certainty. The reasoning effectively rules out alternative interpretations like generic descriptors or internal codes, making the branding conclusion plausible.",Branded
"RTE-Seths - Chinese Ready Schezwan Sauce (Frozen), 1 Kg BB0009",Branded,Seths,0.8355,8,7.941,1.0,"The reasoning is strong, as it identifies 'Seths' as a potential brand name based on its placement in the product title and the structured format 'RTE-[Brand] - [Product Description]'. The explanation that 'Seths' is a common surname used as a brand in India adds credibility. However, the reasoning could be slightly improved by providing more concrete evidence or examples of 'Seths' as a known brand in the food industry. The classification of 'BB0009' as an internal code is reasonable and does not affect the branding determination.",Branded
Rice Flat Noodle 10mm   500g pkt   How How,Branded,How How,0.2568,8,7.948,1.0,"The reasoning is strong, as ""How How"" is indeed a recognizable brand associated with noodle products, and its placement at the end of the product title aligns with common branding conventions in B2B catalogs. The detailed description of the product (10mm width, 500g packet) supports the notion of a branded, packaged item. However, the reasoning could be slightly improved by providing more specific evidence or references to confirm ""How How"" as a brand in the Indian market context, which would elevate the certainty to a 9.",Branded
GK-Miami Waffle Pizza Pkg Box 1PKT 100PC GK Dry 137504,Branded,GK,0.0197,8,7.951,1.0,"The reasoning is strong, as it identifies 'GK' as a repeated prefix in the product title, suggesting it is the brand name. The structured naming convention and the presence of an SKU code support the classification as a branded product. However, the reasoning assumes 'Miami' is a sub-brand without explicit evidence, which is a minor gap. Overall, the analysis is well-supported by the input and typical patterns in B2B product listings.",Branded
GK - Infinite Food - Strawberry Smoothie Premix Powder (58 G x 15 sachet),Branded,Infinite Food,0.1312,8,7.972,0.9999,"The reasoning is strong, as it identifies ""Infinite Food"" as a potential brand name based on its placement and capitalization in the product title. The format described aligns with typical branded product listings, and the structured packaging details support this interpretation. However, the reasoning assumes ""GK"" is a seller code without concrete evidence, which introduces a minor gap. Overall, the conclusion that ""Infinite Food"" is a brand is well-supported by the product title's structure and presentation.",Branded
Prepit Hyderabad Biriyan 1 kg,Branded,Prepit,0.005,8,7.976,1.0,"The reasoning is strong, as ""Prepit"" is likely a coined brand name, fitting the pattern of branded products in B2B catalogs. The structure ""Brand + Variant + Weight"" supports this interpretation. The explanation of ""Hyderabad Biriyan"" as a variant and the phonetic spelling aligns with common practices in Indian catalogs. However, without external verification of ""Prepit"" as a known brand, there is a minor gap in certainty. The reasoning effectively uses the input structure and context to deduce branding, but lacks independent confirmation of ""Prepit"" as a brand.",Branded
#_# Wooden Spoon - Amore,Branded,Amore,0.8376,8,7.976,1.0,"The reasoning is strong, as 'Amore' is indeed a known brand in various markets, and the use of a dash to separate the product descriptor from the brand name is a common convention in product titles. The explanation that 'Amore' is used as a brand name rather than a descriptive term is logical, given its lack of descriptive relevance to a wooden spoon. However, the reasoning could be slightly improved by providing more specific evidence of 'Amore' being a brand in the kitchenware space, which would make the conclusion more robust.",Branded
Chilled Chicken Thigh Boneless 1 kg (Rsons),Branded,Rsons,0.6442,8,7.978,1.0,"The reasoning is strong, as the use of parentheses in product titles is indeed a common way to denote a brand or supplier in B2B catalogs, especially in the Indian market. The name ""Rsons"" fits the pattern of a brand or supplier name. However, without external verification of ""Rsons"" as a known brand, there is a minor gap in certainty. The reasoning effectively uses the structural pattern in the input to support the classification as branded.",Branded
#_# Cookies and Cream Ice-cream Tub (100ml) - Meemees,Branded,Meemees,0.0063,8,7.98,1.0,"The reasoning is strong, as it identifies 'Meemees' as a potential brand name based on its placement in the product title, which aligns with common catalog patterns where brand names are appended at the end. The reasoning also notes the typical size for ice cream products in the Indian market, supporting the branded classification. However, without external verification of 'Meemees' as a known brand, there is a minor gap in certainty. The reasoning is logical and well-supported by the input, but lacks independent verification of 'Meemees' as a brand.",Branded
Sandburgs Truffle Barbeque sauce (500 gram),Branded,Sandburgs,0.0002,8,7.985,1.0,"The reasoning is strong, as it identifies ""Sandburgs"" as a proper noun likely representing a brand, which is a common naming convention for branded products. The combination of ""Truffle"" and ""Barbeque"" suggests a premium product, aligning with branded offerings. However, without external verification of ""Sandburgs"" as a known brand, there is a minor gap in certainty. The reasoning effectively uses the structure and content of the product title to support the branding conclusion.",Branded
GK-NY Pan Cake Sp Pkg Box 1PKT 100PC GK Dry 137497,Branded,GK,0.6723,8,7.996,1.0,"The reasoning is strong, as it identifies 'GK' as a repeated element in the product title, suggesting it is the brand name. The structured naming convention supports this interpretation, and 'GK' is noted as a known brand in the relevant market segment. However, the reasoning assumes 'GK' is a brand without external verification, and 'NY' is interpreted as a variant without explicit evidence. The conclusion is plausible and well-reasoned, but lacks independent verification of 'GK' as a brand, which slightly weakens the certainty.",Branded
#_# Pink Dome Box 1/2 Kg - Sassy Teaspoon,Branded,Sassy Teaspoon,0.8105,8,8.05,1.0,"The reasoning is strong, as ""Sassy Teaspoon"" is indeed a distinctive and creative name that suggests branding rather than a generic descriptor. The structure of the product title, with ""Sassy Teaspoon"" following the product description, supports the interpretation of it being a brand name. However, without external verification of ""Sassy Teaspoon"" as a known brand, there is a minor gap in certainty. The reasoning aligns well with the input and the context of a B2B catalog, making the output likely correct.",Branded
#_# Eggless Chocolate Chip Pound Cake - Sweetish,Branded,Sweetish,0.0016,8,8.076,1.0,"The reasoning is strong, as the use of a dash to separate a product name from a brand name is a common pattern in product titles. ""Sweetish"" is likely a brand name, especially given the context of a B2B catalog where such formatting is typical. The explanation about the Indian market's preference for eggless products adds context. However, without external verification of ""Sweetish"" as a brand, there is a minor gap in certainty. The reasoning is logical and well-supported by the input, but lacks independent verification of ""Sweetish"" as a brand.",Branded
Blue Pine Artesian Water - 750 ML - GST @18 %,Branded,Blue Pine,0.0023,8,8.089,1.0,"The reasoning is strong, as it identifies ""Blue Pine"" as a proper noun and associates it with ""Artesian Water,"" suggesting a branded product. The mention of GST @18% aligns with taxation for premium bottled water in India, supporting the branded classification. However, the reasoning could be slightly improved by addressing the possibility of ""Blue Pine"" being a generic descriptor rather than a brand. Overall, the analysis is well-supported by the input and context, but there is a minor gap in considering alternative interpretations.",Branded
Teqila Blanco Don Angel 750 Ml,Branded,Don Angel,0.7402,8,8.094,1.0,"The reasoning is strong, as it correctly identifies ""Don Angel"" as a likely brand name, supported by the common use of ""Don"" in tequila branding. The explanation of ""Blanco"" as a style and ""750 Ml"" as a size is accurate. The misspelling of ""Teqila"" is plausible in a noisy catalog. However, the claim that ""Don Angel"" is a recognized tequila brand is not independently verified here, which slightly weakens the certainty. Overall, the reasoning aligns well with the input, but lacks external verification of the brand's recognition.",Branded
Shresth Gold Milk 500 Ml,Branded,Shresth Gold,0.0302,8,8.102,1.0,"The reasoning is strong, as it identifies ""Shresth Gold"" as a likely brand name based on the structured naming convention typical of branded products in the Indian market. The explanation of ""Shresth"" as a brand identifier and ""Gold"" as a common variant for premium milk aligns with known practices in the dairy industry. However, without external verification of ""Shresth Gold"" as an actual brand, there is a minor gap in certainty. The reasoning is logical and well-supported by the input, but lacks independent confirmation of the brand's existence.",Branded
Active X Mustard Oil 500mL,Branded,Active X,0.0003,8,8.192,1.0,"The reasoning is strong, as ""Active X"" is presented as a distinct name preceding the product type ""Mustard Oil,"" which suggests branding. The structured format (Brand + Product Type + Volume) is typical for branded products. The reasoning correctly identifies the 500mL as indicative of a specific SKU, supporting the branded classification. However, without external verification of ""Active X"" as a known brand, there is a minor gap in certainty. The reasoning aligns well with the input and typical catalog conventions, justifying a high confidence score.",Branded
"Newtrition - Lemon Ginger, 500 ML",Branded,Newtrition,0.0256,8,8.248,1.0,"The reasoning is strong, as it identifies 'Newtrition' as a coined brand name, which is plausible given the context and the structure of the product title. The use of a hyphen to separate the brand from the product description is a common convention in B2B catalogs, supporting the branded classification. The description of the product as a Lemon Ginger flavored beverage in a 500 ML bottle aligns with typical branded health/wellness products. However, without external verification of 'Newtrition' as a known brand, there is a minor gap in certainty.",Branded
Pizza Base 8 inch Whole Wheat Pan Crust (Junos),Branded,Junos,0.1112,8,8.268,1.0,"The reasoning is strong, as it identifies 'Junos' as a likely brand name due to its placement in parentheses, a common convention for denoting brands in product titles. The detailed product attributes (size, whole wheat, pan crust) support the idea of a branded product, as these specifics are typical of branded items. However, without external verification of 'Junos' as a known brand, there is a minor gap in certainty. The reasoning is logical and well-supported by the input, but lacks independent verification of 'Junos' as a brand.",Branded
EASTMADE - CUMIN (JEERA) 1 KG,Branded,Eastmade,0.0191,8,8.334,1.0,"The reasoning is strong, as it identifies ""EASTMADE"" as a likely brand name based on its position in the product title, which follows a common naming convention for branded goods. The explanation also notes the bilingual nature of the product name, which is typical for branded products in the Indian market. However, the reasoning assumes ""EASTMADE"" is a brand without external verification, which is a minor gap. Overall, the output is well-supported by the reasoning and the input.",Branded
3 EASTMADE - BLACK PAPER WHOLE (KALI MIRCH),Branded,Eastmade,0.4883,8,8.429,1.0,"The reasoning is strong, as ""EASTMADE"" is positioned at the front of the title, suggesting it is a brand name. The structured format of the title, with the brand name followed by the product description, aligns with typical branded product listings. The explanation of ""3"" as a pack size and ""(KALI MIRCH)"" as a vernacular name for black pepper is plausible. However, without external verification of ""Eastmade"" as a known brand, there is a minor gap in certainty. The reasoning is well-structured and logical, but lacks independent verification of the brand's existence.",Branded
Fryola Oil,Branded,Fryola,0.7217,9,8.431,1.0,"The reasoning is well-supported by the input and general knowledge. ""Fryola"" follows a naming pattern typical of branded products, combining ""fry"" with the suffix ""-ola,"" similar to known brands like Mazola. The explanation that ""Oil"" is a category descriptor aligns with common branding practices. Additionally, Fryola is recognized as a brand in the edible oil market, particularly in India, which corroborates the classification as ""Branded"" with the brand name ""Fryola.""",Branded
