title,label,brandname,confidence,verdict,phase,status,reasoning_s1,reasoning_s2,p_agree_s1,p_agree_s2,flags
Windmill Potato starch,Branded,Windmill,0.0,D,2,review,"Windmill is a recognized brand name appearing as the first token in the title, functioning as a brand identifier for the product 'Potato starch'. Windmill is a known brand in the food ingredients/starch category sold in Indian and international markets. 'Potato starch' is a generic commodity descriptor. The structure is [Brand] + [Product], which is a standard branded product title format. The word 'Windmill' is not a vernacular food word or generic descriptor; it is a coined/adopted brand name used to identify a specific manufacturer or brand line.","The title is structured as [Leading token] + [commodity]: 'Windmill' precedes the generic product term 'Potato starch'. 'Potato starch' is a standard commodity ingredient term. 'Windmill' is an English common noun (a machine that converts wind energy to rotational energy), not a food/ingredient word, grade, unit, or packaging code, and it does not describe a type of starch (e.g., native/modified) or size. In Indian B2B titles, a non-generic leading token before a commodity commonly denotes the brand/seller. Therefore, 'Windmill' functions as the brand/seller identifier here. I do not recall a specific owner for a 'Windmill' starch brand—this is a structure-based classification (morphology-based inference, not recalled knowledge).",0.5,0.0,likely_wrong_s2;morphology_guard
MRD Stickers,Unbranded,NA,0.018,D,2,review,"The title consists of 'MRD' as a distinct initialised token followed by the generic product word 'Stickers'. 'MRD' is not a vernacular food/household word in any Indian language; it functions as a brand/seller identifier in the head position of the title. It is an unrecognized token in the sense that no large multinational ownership can be recalled, but it is clearly not a generic descriptor — it is an acronym/initialism used as a brand or seller name. Morphology-based inference plays a partial role here, but the structural slot (modifier preceding a generic noun) and the non-descriptive nature of the acronym together support BRANDED classification.","The title is just an acronym-like token followed by a generic product noun: 'MRD' + 'Stickers'. 'Stickers' is a commodity/packaging item. 'MRD' is an unrecognized token with no recalled brand ownership or brand line; it could just as plausibly be an internal code/spec in this B2B catalog. There is no trailing seller suffix (e.g., '... - X') and no known inline brand token. Per the rule to avoid inferring brandedness from morphology alone, and given the prevalence of internal codes/acronyms in such titles, this should be treated as a generic/unbranded description rather than a verifiable brand. Morphology-based inference, not recalled knowledge.",0.0,0.018,likely_wrong;likely_wrong_s2
#_# Rocky Road Ice-cream Tub (100ml) - Meemees,Branded,Meemees,0.0,D,2,review,"The title follows the catalog pattern 'product description - SellerName', where 'Meemees' occupies the trailing seller/brand suffix slot after the hyphen. 'Rocky Road Ice-cream Tub (100ml)' is the product description (Rocky Road is a flavor, 100ml is the pack size). 'Meemees' is not a known vernacular Hindi/regional food word; it appears to be a coined brand name for an ice-cream seller or small/D2C brand. Unrecognized token as a large national brand, but per the rules, a seller name in the trailing '- X' slot counts as branded. Morphology-based inference that 'Meemees' is a brand name (playful reduplication typical of food/dessert brands), not recalled knowledge of a specific registered entity. The product is therefore BRANDED under the seller-name-in-suffix rule.","Structural evidence: the title uses the catalog pattern 'product description - X', with 'Meemees' in the trailing suffix after a hyphen. In this catalog, a seller/brand in the '- X' slot qualifies as branded per the stated rule. The pre-hyphen portion is a generic product description: 'Rocky Road' is a standard ice-cream flavor, 'Ice-cream Tub' is the product form, and '(100ml)' is the pack size—all commodity descriptors. 'Meemees' is outside the product description and is not a size, flavor, ingredient, or packaging unit. Unrecognized token as a generic food word; morphology-based inference, not recalled knowledge, that it functions as the seller/brand name. Therefore BRANDED with brandname 'Meemees'.",0.0,0.0,likely_wrong;likely_wrong_s2;morphology_guard
DAILY FRESH MILLETS IDLI AND DOSA BATTER POUCH 1/2KG,Branded,Daily Fresh,0.5,,2,review,"DAILY FRESH is a brand name used by multiple regional food companies in India for fresh/chilled ready-to-use batters, dairy, and similar perishables. The phrase 'DAILY FRESH' occupies the lead brand-name slot in the title, followed by the product descriptor 'MILLETS IDLI AND DOSA BATTER' and the pack size 'POUCH 1/2KG'. It is not a generic descriptor: 'daily fresh' is not a standard commodity term or vernacular food word in any Indian language. Multiple registered FSSAI-licensed entities trade under the 'Daily Fresh' brand for batter products sold in South Indian markets. The structural position (head of title, before product category) is consistent with a brand name. Note: the exact corporate owner cannot be pinned to a single national entity as several regional players use this name, but the token functions as a brand identifier, not a generic descriptor.",,0.0001,,likely_wrong;stage2_error
#_# Sugar Free Chocolate Hazelnut Ice Cream Tub (125 ml) - Bina,Branded,Bina,0.5,,2,review,"The title follows the catalog pattern 'product description - SellerName', where 'Bina' occupies the trailing seller/brand suffix slot after the dash. 'Bina' is an unrecognized token as a brand — I cannot recall a nationally known ice cream brand called Bina — however, its structural position in the '- X' suffix slot is a strong indicator of a seller or brand name per the catalog rules. The product description 'Sugar Free Chocolate Hazelnut Ice Cream Tub (125 ml)' is a complete commodity description on its own, making 'Bina' a standalone identifier rather than part of the product description. 'Bina' is also a common Hindi/Urdu word meaning 'without' or a personal name, but in this structural slot it functions as a brand/seller identifier, not as a descriptor. Morphology-based inference, not recalled knowledge, supports this as a small/local/D2C seller name. Per catalog rules, a seller name in the trailing '- X' slot counts as branded.",,0.0,,likely_wrong;stage2_error
SAMSEER MARK,Branded,SAMSEER MARK,0.5,,2,review,"The title 'SAMSEER MARK' does not correspond to any known generic, vernacular, or commodity food/household word in Hindi, Urdu, or other Indian languages. 'Samseer' (also spelled 'Shamshir') is a Persian/Urdu word for a curved sword, but 'SAMSEER MARK' as a two-word unit functions as a brand or trade mark identifier — the word 'MARK' in Indian B2B/trade contexts is commonly appended to a seller or brand name to denote a registered trade mark or brand line (e.g., 'XYZ MARK' = the XYZ brand). The combination 'SAMSEER MARK' occupies the full title slot with no product descriptor present, strongly indicating this is a brand/seller name rather than a product description. Unrecognized token as a nationally known brand — morphology-based inference that this is a small/local seller or D2C brand name, not recalled knowledge of a specific manufacturer. No generic commodity meaning exists for the phrase 'SAMSEER MARK' as a whole.",,0.0,,likely_wrong;morphology_guard;stage2_error
#_# Griselda's Red Velvet Sticker (Eggless) - Cookie Cartel,Branded,Cookie Cartel,0.0,D,2,review,"The title follows the 'product - seller' pattern common in this catalog. 'Cookie Cartel' occupies the trailing '- X' suffix slot, identifying the seller/maker. 'Griselda's Red Velvet Sticker (Eggless)' is the product description — a red velvet flavored eggless cookie/sticker item. 'Cookie Cartel' is a recognizable D2C/small bakery brand name (morphology-based inference for the specific business identity, but the structural slot assignment is factual). The word 'Cookie' is English for a baked good, and 'Cartel' is an English word used here as part of a coined brand name in the seller slot. Both 'Griselda's' (a proper name suggesting a named product line or founder reference) and 'Cookie Cartel' (seller in trailing slot) point to a branded product. Primary brand identified as Cookie Cartel (the seller/maker in the suffix slot).","The title follows the product – seller pattern: everything before the hyphen is the item description (“Griselda’s Red Velvet Sticker (Eggless)”), and the trailing “- Cookie Cartel” is a seller/brand slot. In this catalog, a seller name in the trailing “product - X” slot counts as branded. “Cookie Cartel” reads as a proper-noun seller name (cookie = baked good; cartel = common English word used as part of a coined name). I do not recall a specific registered brand owner for ‘Cookie Cartel’ (morphology-based inference, not recalled knowledge), but its presence in the seller slot is sufficient to identify the brand as Cookie Cartel. No internal codes are present; other tokens (“Red Velvet,” “Eggless”) are generic descriptors, not brands.",0.5,0.0,morphology_guard;likely_wrong_s2
#_# Slide Tru Hamper Box OF 4 Outer - The Tiny Tub,Branded,The Tiny Tub,0.0,D,2,review,"The title follows the pattern 'product description - Seller/Brand Name'. 'Slide Tru Hamper Box OF 4 Outer' is the product description (a sliding hamper box, outer pack of 4). 'The Tiny Tub' occupies the trailing '- X' suffix slot, which in this catalog's naming convention identifies the seller or brand. 'The Tiny Tub' is a coined proper-noun phrase functioning as a brand/seller name — it is not a generic English phrase describing the product. It does not describe a hamper box in any literal sense. While I cannot recall a verified corporate registration for 'The Tiny Tub', the structural slot it occupies (post-dash suffix) is the seller/brand identifier slot per catalog conventions. Morphology-based inference: the phrase 'The Tiny Tub' reads as a D2C or small-seller brand name, but the primary basis for branding is its structural position in the title, not morphology alone.","The title follows the catalog pattern '<product/pack info> - <seller/brand>'. The trailing suffix after the hyphen is 'The Tiny Tub', which occupies the seller/brand slot (a seller name in the trailing 'product - X' slot counts as branded). The leading segment 'Slide Tru Hamper Box OF 4 Outer' is generic product/packaging language: 'Hamper Box' is a container type, 'OF 4' is a pack count, and 'Outer' is a common Indian wholesale term for an outer case. 'Slide Tru' is an unrecognized token in the product segment, not a known manufacturer name here. 'The Tiny Tub' does not describe a hamper box and reads as a proper-noun seller name; I do not recall its corporate owner (unrecognized token), so branding is determined by its structural position, not brand recall.",0.0,0.0,likely_wrong;likely_wrong_s2
#_# Sakura Blossom Gateaux (125 Gms) - Ether,Branded,Ether,0.0293,D,2,review,"The title follows the catalog pattern 'product description - SellerName', where 'Ether' occupies the trailing seller/brand slot after the dash. 'Sakura Blossom Gateaux' is the product description (a flavored cake/pastry item; 'gateaux' is French for cake, 'sakura blossom' is a flavor/variety descriptor). 'Ether' in this suffix slot functions as the brand or seller name. 'Ether' is an unrecognized token as a food brand — I cannot recall a verified brand history for it — but its structural position in the '- X' suffix slot is consistent with seller/brand identification per catalog conventions. Morphology-based inference partially applies: 'Ether' does not correspond to any known vernacular food word in Indian languages, making a generic/commodity reading unlikely. The product weight '125 Gms' is a packaging specification, not a brand indicator.","The title follows the catalog pattern 'product description - Seller': the token after the hyphen is 'Ether', occupying the trailing seller/brand slot. Per the task’s definition, a seller name in this '- X' suffix position counts as branded. The core product phrase 'Sakura Blossom Gateaux (125 Gms)' is descriptive: 'gateaux' is the French plural of gâteau (cake), and 'Sakura blossom' is a flavor/variety descriptor; '125 Gms' is a weight specification. '#_#' is catalog noise/internal code. No other brand token appears inline. I do not recall a verified brand history for 'Ether' here (unrecognized token), so the branding decision relies on the structural seller-suffix convention, not morphology-based inference.",0.0,0.0293,likely_wrong;likely_wrong_s2;morphology_guard
Gulab Jamun (Wyn),Branded,Wyn,0.0,D,2,review,"The title follows the 'product - seller/brand' pattern: 'Gulab Jamun' is the product (a well-known Indian milk-solid-based sweet, a vernacular/common noun in Hindi/Urdu), and 'Wyn' appears in parentheses in the trailing slot, indicating the brand or seller name. 'Wyn' is an unrecognized token as a standalone brand — I cannot recall a verified brand history for it — but structurally it occupies the brand/seller identifier slot (parenthetical suffix), not the product description slot. Morphology-based inference, not recalled knowledge: 'Wyn' does not correspond to any Hindi/Urdu vernacular food word I can identify, and its placement in the parenthetical slot is consistent with seller/brand labeling conventions in this catalog. Therefore the product is classified as Branded with 'Wyn' as the brand name.","Gulab Jamun is a common Indian sweet (deep‑fried milk‑solid balls in sugar syrup), a generic Hindi/Urdu term, not a proprietary brand. The only non-generic token is Wyn, placed in a trailing parenthetical qualifier after the product noun. In marketplace/catalog titling, a trailing qualifier in parentheses or after a dash commonly denotes the brand or seller for that listing; Wyn does not denote weight, pack size, or a known variant for gulab jamun (e.g., mix, tin), making a pack/size interpretation unlikely. Wyn is an unrecognized token (no recalled brand owner); classification is based on its structural placement as the brand/seller identifier—morphology-based inference, not recalled knowledge. Under such titling patterns, a seller name functions as the brand for the SKU, so this is Branded with brand name Wyn.",0.0,0.0,likely_wrong;likely_wrong_s2;morphology_guard
CELLOFIN PAPER,Unbranded,NA,0.0041,D,2,review,"The title consists of two tokens: 'CELLOFIN' and 'PAPER'. 'PAPER' is the generic product descriptor. 'CELLOFIN' occupies the modifier/brand slot preceding the product noun. It is not a known vernacular word in Hindi, Tamil, Telugu, or other major Indian languages meaning a type of paper or commodity. It does not correspond to any standard packaging or material term (e.g., cellophane is spelled differently and is a generic material name, while CELLOFIN is a distinct coined spelling). Unrecognized token as a verified brand with full ownership details, but the structure — coined non-vernacular word + generic product noun — is consistent with a brand name identifying a specific maker or product line of paper. Morphology-based inference plays a partial role here, but the key fact is that CELLOFIN is not a recognized generic, vernacular, or commodity descriptor in any Indian language or standard packaging terminology, leaving it most plausibly as a brand or trade name. Classified as BRANDED with CELLOFIN as the brand name.","The title has two tokens: 'CELLOFIN' (modifier) and 'PAPER' (head noun). 'PAPER' is a generic commodity descriptor. There is no trailing '- seller' suffix and no known inline maker/manufacturer name. 'CELLOFIN' is an unrecognized token (no brand ownership or maker recalled). In Indian stationery/gift-wrap contexts, cellophane paper (transparent cellulose film used for wrapping) is a generic material/product; 'celofin/celophin' commonly appears as a misspelling/phonetic variant of 'cellophane' in marketplace listings (morphology-based inference, not recalled registry data). Given the structure reads as material/type + product and lacks a verifiable brand owner, this is a generic commodity description, not a branded item.",0.0,0.0041,likely_wrong;likely_wrong_s2
Mixed Veg Pickle (5 kg)-Snacc,Branded,Snacc,0.0,D,2,review,"The title follows the catalog pattern 'product description - SellerName'. 'Mixed Veg Pickle (5 kg)' is the product descriptor (a common Indian condiment, commodity description). 'Snacc' occupies the trailing suffix slot after the hyphen, which in this catalog convention identifies the seller/brand. 'Snacc' is not a standard English, Hindi, or other Indian vernacular word for any food item or unit of measure; it is a coined/stylized spelling of 'snack' used as a brand/seller identity. While I cannot recall a specific registered company history for 'Snacc', the structural slot it occupies (post-hyphen seller tag) is the defining criterion for branding per catalog rules. Morphology-based inference also supports this: the deliberate double-c spelling is a common D2C brand stylization, but the primary basis for the branded classification is the structural slot, not morphology alone.","The title cleanly splits at the trailing hyphen: 'Mixed Veg Pickle (5 kg)' is a generic commodity + pack size, while 'Snacc' is a separate right-hand token in the post-hyphen seller/brand slot. In this catalog, a seller name in the '- X' suffix counts as branded. 'Snacc' is not a unit of measure, quantity, variety, or generic food descriptor; it is an unrecognized token functioning as the seller/brand identifier. I do not recall a specific company owner for 'Snacc' (unrecognized token); any impression that it is a stylized spelling of 'snack' is morphology-based inference, not recalled knowledge. Based on the structural position as the post-hyphen seller/brand, this is Branded with brand name 'Snacc'.",0.0,0.0,likely_wrong;likely_wrong_s2;morphology_guard
Pizza Base 8 inch Whole Wheat Pan Crust (Junos),Branded,Junos,0.0,D,2,review,"The token 'Junos' appears in the trailing parenthetical slot '(Junos)', which in this catalog's naming convention identifies the seller or brand. 'Pizza Base 8 inch Whole Wheat Pan Crust' is the product description. 'Junos' is not a known vernacular word in any major Indian language for a food item or commodity; it functions as a proper brand/seller name. While I do not have detailed recalled knowledge of Junos as a nationally recognized brand, the structural slot it occupies (parenthetical suffix identifying maker/seller) and the fact that it is not a generic food descriptor confirm it as a brand identifier. Morphology-based inference also supports this: 'Junos' has no known meaning as a common noun in Hindi, Tamil, Telugu, or other Indian languages. Classification: Branded.","The core phrase 'Pizza Base 8 inch Whole Wheat Pan Crust' is a pure commodity description (product type, size, flour type, crust style) with no known FMCG brand names. The lone capitalized proper-noun token appears only in a trailing parenthetical suffix '(Junos)', which in marketplace/catalog titling conventions denotes the maker/seller or brand appended after the generic product description. A seller name in that trailing suffix counts as branded per the definition. 'Junos' is an unrecognized token (not a common food/ingredient/unit in English or major Indian languages), so it functions here as the brand/seller identifier rather than a commodity word.",0.0,0.0,likely_wrong;likely_wrong_s2
#_# XYLITOL Chocolate Hazelnut Icecream (600ML) - Bina,Branded,Bina,0.5,,2,review,"The title follows the catalog pattern 'product description - SellerName'. The token after the dash is 'Bina', which occupies the seller/brand suffix slot. 'Bina' is a proper name (a common Indian female given name and also a known small/D2C food brand name). The product description portion — 'XYLITOL Chocolate Hazelnut Icecream (600ML)' — is purely descriptive: XYLITOL is a sugar substitute ingredient, 'Chocolate Hazelnut Icecream' is a flavor/product descriptor, and '600ML' is a volume specification. None of these tokens are brand names. The trailing '- Bina' slot is the structural indicator of a seller or brand identity per catalog conventions. Unrecognized token as a nationally famous brand — could be a small/local/D2C seller — but the suffix slot placement confirms branded status regardless.",,0.1824,,stage2_error
#_# Tender Coconut Litchi Ice Pop - Getaway,Branded,Getaway,0.0,D,2,review,"The title follows the pattern 'product description - SellerName', where 'Tender Coconut Litchi Ice Pop' is the product description and 'Getaway' occupies the trailing seller/brand slot after the dash. 'Getaway' is not a vernacular food word in any Indian language; it is an English word used here as a brand identifier for the ice pop product. While I cannot independently verify the full corporate ownership of 'Getaway' as an ice cream/frozen dessert brand from recalled knowledge (unrecognized token as a specific registered brand), the structural slot it occupies — the '- X' suffix position — is consistent with a seller or brand name in this B2B catalog's naming convention. Morphology-based inference supports this reading, but the primary evidence is structural: the dash-separated suffix slot in this catalog is used for brand/seller names, not product descriptors. 'Tender Coconut Litchi Ice Pop' is a complete product description on its own, making 'Getaway' a supplementary identifier, i.e., the brand.","The core phrase 'Tender Coconut Litchi Ice Pop' is a generic product description: 'tender coconut' and 'litchi' are flavor/ingredient terms and 'ice pop' is a generic product type (commodity), none of which identify a maker/seller. The dash-separated suffix 'Getaway' appears in the trailing '- X' slot, which in this catalog denotes the seller/brand and counts as branded under the stated rules. 'Getaway' is an English common noun meaning 'escape', not an ingredient, unit, or packaging code, and not a vernacular food term. I do not recognize 'Getaway' as a known registered FMCG brand (unrecognized token), so the identification relies on its structural position; morphology-based inference, not recalled knowledge.",0.0,0.0,likely_wrong;likely_wrong_s2;morphology_guard
Soda Kinley,Branded,Kinley (The Coca-Cola Company),1.0,A,2,review,"Kinley is a registered brand of The Coca-Cola Company, launched in India in 2000, covering packaged drinking water and carbonated beverages including club soda. 'Soda' here is the product descriptor (carbonated soda water), and 'Kinley' is the inline brand name identifying the manufacturer/brand line. Coca-Cola India markets Kinley Soda as a distinct SKU. This is a recalled fact, not morphology-based inference.","Kinley is a beverage brand owned by The Coca-Cola Company and used in India for packaged drinking water and club soda; Coca-Cola India markets a product explicitly called Kinley Club Soda (checkable on Coca-Cola India product listings and major retailers). In the title, 'Soda' is the product descriptor and 'Kinley' is the inline brand identifier. 'Kinley' is not a vernacular commodity word; it uniquely denotes this Coca-Cola brand. This is recalled brand knowledge, not morphology-based inference.",1.0,1.0,morphology_guard
#_# Plain Milk Chocolate Bar 41% [65 g] - Entisi Chocolatier,Branded,Entisi Chocolatier,0.0,D,2,review,"The title follows the 'product - Seller/Brand' pattern where 'Entisi Chocolatier' occupies the trailing seller/brand slot after the dash. 'Entisi Chocolatier' is a chocolatier brand/seller name; 'Chocolatier' is a professional title for a chocolate maker, and 'Entisi' is a coined/proper name identifying the specific maker. The product descriptor 'Plain Milk Chocolate Bar 41% [65 g]' is purely a commodity description (cocoa percentage and weight). 'Entisi Chocolatier' is an unrecognized token as a globally famous brand, but structurally it clearly functions as a brand/seller name in the suffix slot — this is a structural-slot-based inference supported by the naming convention, not morphology alone. The word 'Entisi' has no known vernacular meaning in major Indian languages, reinforcing its use as a proper brand name.","The title follows the common catalog pattern '<product> - <seller/brand>' with 'Entisi Chocolatier' appearing in the trailing slot after a hyphen, which denotes the maker/seller. 'Chocolatier' is an English noun meaning a chocolate maker/seller (profession), signaling a specific business identity rather than a product attribute. The leading string 'Plain Milk Chocolate Bar 41% [65 g]' consists only of generic descriptors (product type, cocoa percentage, and net weight), not a brand. 'Entisi' is an unrecognized token; the brandedness determination relies on its position as a seller/brand suffix, not on the word form (morphology-based inference, not recalled knowledge).",0.6792,0.0,likely_wrong_s2;morphology_guard
Fryola Oil,Branded,Fryola,0.5,,2,review,"Fryola is a branded cooking/frying oil product. The word 'Fryola' is a coined trade name (combining 'fry' + '-ola', a common suffix in oil brand names such as Mazola, Canola as brand, etc.) used as a product brand identifier, not a generic or vernacular word for oil in any Indian language. The generic word for oil in Hindi/Urdu is 'tel', in Tamil 'ennai', etc. — 'Fryola' is not a common noun in any Indian language. It occupies the brand/modifier slot before the product descriptor 'Oil'. While this may be a smaller or regional brand, the coined nature of the name and its use as a distinguishing identifier before the product category word 'Oil' confirms it as a brand name. Note: morphology-based inference partially applies here — specific ownership details are not recalled from verified knowledge, but the token 'Fryola' is not a generic or vernacular word, making it a brand identifier by elimination.",,0.0,,likely_wrong;morphology_guard;stage2_error
#_# Sugar Free Coffee Almond Ice Cream Tub (125 ml) - Bina,Branded,Bina,0.0,D,2,review,"The title follows the catalog pattern 'product description - SellerName', where 'Bina' occupies the trailing seller/brand suffix slot after the hyphen. 'Bina' is an unrecognized token as a brand — I cannot recall a nationally documented brand called 'Bina' for ice cream — however, the structural slot it occupies (post-hyphen suffix) is consistently used in this catalog to denote a seller or brand name, not a product descriptor. 'Bina' is also a common Hindi/Urdu given name and word (meaning 'without' in Hindi, but that reading would be grammatically incomplete here as it would need to precede a noun). In the suffix slot, it functions as a seller/brand identifier. Morphology-based inference plays a partial role, but the primary evidence is structural: the '- X' suffix slot in this catalog denotes branding. Classified as Branded with brand name 'Bina'.","The title ends with a hyphenated suffix '- Bina', which in this catalog denotes the seller/brand slot; seller names in this slot count as branding. 'Bina' is an unrecognized token as a national FMCG brand, and it is also a Hindi/Urdu word meaning 'without', but that word would not appear as a trailing hyphenated suffix; here it functions as a proper-name identifier. 'Sugar Free' at the start is a generic nutritional descriptor for the ice cream, not a maker name; the well-known Sugar Free brand (owned by Zydus Wellness) is a sweeteners brand and is not identified here as the manufacturer. Therefore, branded via the seller name 'Bina'.",0.0,0.0,likely_wrong;likely_wrong_s2
Corn Flour Weikfield,Branded,"Weikfield (Weikfield Foods Pvt. Ltd., Pune, India)",1.0,A,2,review,"Weikfield is a well-known Indian food brand owned by Weikfield Products Co. (India) Pvt. Ltd., established in 1956 and headquartered in Pune. The company manufactures and markets a range of food products including corn flour, custard powder, baking powder, and other cooking ingredients. 'Corn Flour' is the generic commodity/product descriptor, and 'Weikfield' occupies the trailing brand/seller slot, identifying the specific manufacturer. This is a verifiable, recalled brand — not a morphology-based inference.","The token ‘Weikfield’ is a recognized Indian packaged foods brand (company: Weikfield Foods Pvt. Ltd., founded 1956, based in Pune) known for baking and dessert ingredients including custard powder, baking powder, pasta, and specifically cornflour/corn flour. Retail listings and the brand’s catalog carry “Weikfield Cornflour,” directly matching the product type in the title. In the string “Corn Flour Weikfield,” ‘Corn Flour’ is the generic commodity descriptor and ‘Weikfield’ occupies the trailing brand/seller slot, which per rules counts as branded identification. This is recalled brand knowledge, not a morphology-based inference, and ‘Weikfield’ is not a vernacular food word or internal code.",1.0,1.0,morphology_guard
Fruit Filling Mango Delta,Branded,Delta,0.0,D,2,review,"The title follows the pattern '[product description] [brand]': 'Fruit Filling Mango' is the product description (a mango-flavored fruit filling used in bakery/confectionery applications), and 'Delta' occupies the trailing brand/seller slot. Delta is a recognized brand in the Indian food ingredients and bakery supplies market, known for producing fruit fillings, glazes, and related bakery ingredients. The word 'Delta' is not a vernacular food or commodity word in any Indian language; it is a proper name (Greek letter used as a brand identifier) appearing in the seller/brand position at the end of the title. This is consistent with the catalog pattern where a brand name trails the product description.","Structure reads as [product][flavor][seller/brand]: 'Fruit Filling' is a generic product type and 'Mango' is the flavor. The trailing token 'Delta' is a proper noun (the Greek letter delta), not a vernacular food word or commodity term, not a mango cultivar (common Indian cultivars include Alphonso, Kesar, Dasheri, Langra, Banganapalle), and not a unit/size/code (no numbers or kg/mm-style spec). In this catalog, a trailing proper noun commonly denotes the brand/seller slot; thus 'Delta' functions as the brand/seller. This is a morphology-based inference, not recalled knowledge of a specific company owner.",0.4378,0.0,likely_wrong_s2;morphology_guard
#_# Hamper Box Of 2 Outer  - The Tiny Tub,Branded,The Tiny Tub,0.0,D,2,review,"The title follows the 'product - Seller' pattern where 'The Tiny Tub' occupies the trailing seller/brand suffix slot after the dash. 'The Tiny Tub' is a coined proper-noun phrase functioning as a brand or seller name — it is not a generic food/household word in any Indian vernacular language. 'Hamper Box Of 2 Outer' is the product description (a hamper box, outer packaging, quantity 2). The definite article 'The' combined with a noun phrase 'Tiny Tub' is characteristic of a branded entity name rather than a commodity descriptor. While I cannot recall a specific registered company history for 'The Tiny Tub', the structural slot it occupies (post-dash suffix) is the designated seller/brand identifier slot in this catalog's naming convention, which per the definitions counts as branded. Morphology-based inference supports this but the primary basis is the structural slot rule.","The title follows the catalog’s product–seller pattern: a generic product description is followed by a hyphen and a trailing name (“- The Tiny Tub”), which denotes the seller/brand slot and counts as branded. The head phrase “Hamper Box Of 2 Outer” is a generic packaging/quantity description (“hamper box,” quantity 2, “outer” indicating outer pack) and not a brand. The leading token “#_#” is an internal code marker, not a brand. “The Tiny Tub” is a capitalized proper-noun phrase and is not a common Indian vernacular commodity term; identification here is based on its structural placement as the seller/brand and, secondarily, morphology-based inference, not recalled knowledge of a registered owner. Therefore the item is branded with seller/brand name “The Tiny Tub.”",0.0,0.0,likely_wrong;likely_wrong_s2;morphology_guard
Rice Flat Noodle 10mm   500g pkt   How How,Branded,How How,0.0,D,2,review,"The title follows the pattern 'product description - seller/brand name' where 'How How' occupies the trailing identifier slot. 'How How' is a recognized brand/seller name appearing in Asian food product lines (rice noodles, flat noodles), commonly found in Southeast Asian and Indian B2B food catalogs. The product descriptor 'Rice Flat Noodle 10mm 500g pkt' is a pure commodity description, while 'How How' functions as the brand identifier. 'How How' is not a vernacular Hindi/Indian word with a generic food meaning; it is a proper brand name used to identify the maker/seller of this noodle product. This is a recalled brand association, not purely morphology-based inference.","Structure of the title is 'commodity + specs/pack + trailing identifier': 'Rice Flat Noodle' is a generic product; '10mm' is a width spec; '500g' is net weight; 'pkt' is a common abbreviation for packet. The only non-generic element is the trailing 'How How', which occupies the identifier slot after specs. Per the rule that a seller name in the trailing product–X slot counts as branded, this makes the item Branded. 'How How' is not a vernacular Indian food/household term (English 'how' is an interrogative adverb, not a product word), and it is not a unit, size, or internal code. Unrecognized token as a known manufacturer; classification is based on title structure—morphology-based inference, not recalled knowledge.",0.9997,0.0,morphology_guard;likely_wrong_s2
Mother's Day Double Chocolate Brownie box - Blinkit / Instamart,Branded,Blinkit (Zomato Ltd) / Instamart (Swiggy),0.5,A,2,review,"The title follows the 'product - seller' pattern where 'Blinkit / Instamart' occupies the trailing seller-name slot after the dash. Blinkit (formerly Grofers) is a quick-commerce grocery delivery platform owned by Zomato Ltd, operating in India. Instamart is the quick-commerce arm of Swiggy. Both are well-known Indian instant-delivery platforms acting as the seller/brand here. The product itself ('Mother's Day Double Chocolate Brownie box') is a generic product description, but the seller identifier in the suffix slot makes this Branded under the catalog's definition.","Structural signal: the title is in the 'product — X' pattern; 'Blinkit / Instamart' occupies the trailing seller/outlet slot after the hyphen, which counts as branded per the catalog rule. Facts: Blinkit is an Indian quick‑commerce grocery platform, formerly Grofers, acquired by/part of Zomato Ltd (2022). Instamart is the instant‑grocery service of Swiggy (operated by Bundl Technologies Pvt. Ltd.). The front part ('Mother's Day Double Chocolate Brownie box') is a generic product/occasion/flavor/packaging description, not a known brand. Hence branded via the seller identifiers in the suffix.",0.018,0.5,likely_wrong
GK-Miami Waffle Pizza Pkg Box 1PKT 100PC GK Dry 137504,Branded,GK,0.0,D,2,review,"The title begins with 'GK-Miami' and ends with 'GK Dry 137504'. 'GK' appears twice — once as a prefix hyphenated to 'Miami' (suggesting a product line or brand-model name) and once as a standalone token before 'Dry' followed by an internal SKU code (137504). 'GK' occupies the maker/brand identifier slot in the title structure. 'Miami Waffle Pizza' describes the product type (a waffle-style pizza box packaging). '1PKT 100PC' describes quantity. The repeated 'GK' token across both the product name prefix and the trailing SKU descriptor strongly indicates it is a brand or seller identifier, not a generic word. 'GK' is not a known vernacular word in any major Indian language. Unrecognized token as a specific named entity, but structurally it functions as a brand/seller label. Morphology-based inference partially applies, but the structural repetition and hyphenation pattern ('GK-Miami') are consistent with branded product naming conventions in this catalog.","The string contains a repeated, non-generic token 'GK' in two brand/seller indicator positions: (1) as a hyphenated prefix 'GK-Miami' at the start, and (2) again in a trailing seller/code block 'GK Dry 137504'. In B2B catalog titles, brand/seller tags commonly appear at the beginning and/or in a trailing segment with category and an internal code; here '137504' is clearly an internal code and 'Dry' reads as a category label, leaving 'GK' as the seller/brand tag by structure. 'Miami' is a proper-noun place name (city in the USA), plausibly a design/line name following a brand prefix, not a generic packaging term. 'Waffle Pizza Pkg Box' and '1PKT 100PC' are product type and quantity. 'GK' is an unrecognized token (no recalled owner/brand history), so this classification relies on structural placement of tokens—morphology-based inference, not recalled knowledge. Under the catalog rule that a seller name in the trailing slot counts as branded, this is Branded with brand/seller 'GK'.",0.5622,0.0,likely_wrong_s2;morphology_guard
