title,brand,old_pred,old_conf,new_pred,reasoning_conf,conf_delta,escaped_grey,verifier_token,justification,error
R.O Water Bottles (20 Ltrs),Water,unbranded,0.9921,unbranded,1.0,0.0079,True,Yes,"The title contains 'R.O,' which stands for 'Reverse Osmosis,' a descriptive term referring to the water purification process — it is not a manufacturer or company name. 'Water Bottles' describes the product type, and '20 Ltrs' is a size specification. No part of the title identifies a real maker or brand.",
#_# XYLITOL Chocolate Hazelnut Icecream (600ML) - Bina,unbranded,branded,0.9504,branded,1.0,0.0496,True,Yes,"The word 'Bina' at the end of the title is the most likely candidate for a brand name — it appears to be a maker or company name identifying who produces this product, rather than describing what the product is. 'XYLITOL' is a sweetener ingredient, not a brand. 'Chocolate Hazelnut Icecream' and '600ML' are purely descriptive terms referring to the product's flavor, type, and size. Since 'Bina' functions as a proper name identifying the maker rather than describing any attribute of the product, the title is classified as branded.",
J and B Rare,unbranded,branded,0.9991,branded,1.0,0.0009,True,Yes,"The words 'J and B' in the title refer to Justerini & Brooks, a well-known Scotch whisky producer, making this a real maker/company name. 'Rare' is a descriptive term used as part of the product line name but does not identify a maker on its own. Together, 'J and B Rare' is a recognized branded Scotch whisky product manufactured by Justerini & Brooks.",
Chlorin Liquid,unbrand,branded,0.5234,unbranded,1.0,0.4766,True,Yes,"The title contains two words: 'Chlorin' and 'Liquid.' 'Liquid' is purely a descriptive term indicating the physical form of the product. 'Chlorin' appears to be a variant spelling of 'chlorine,' referring to the chemical ingredient or active substance, making it a descriptive/ingredient term rather than a manufacturer or company name. No part of the title identifies a real maker or brand behind the product.",
Golden Dust,unbranded,branded,0.3141,unbranded,1.0,0.6859,True,Yes,"The words 'Golden' and 'Dust' are the only potential signals in the title. 'Golden' is a descriptive color/quality term, and 'Dust' describes the physical form or texture of the product. Together, 'Golden Dust' reads as a purely descriptive phrase indicating a fine, golden-colored substance, with no identifiable manufacturer or company name present in the title.",
#_# Slide Tru Hamper Box OF 4 Outer - The Tiny Tub,unbranded,branded,0.9885,unbranded,1.0,0.0115,True,Yes,"The title contains several notable phrases: 'Slide Tru' appears to describe a functional sliding mechanism rather than naming a real manufacturer. 'The Tiny Tub' could superficially resemble a brand name, but within this context it reads as a descriptive label indicating the product is a small tub or container. 'Hamper Box' is clearly a product-type descriptor, and 'OF 4 Outer' refers to pack size or packaging configuration. No part of the title clearly identifies a real maker or company behind the product.",
Moth / Math Atta - Flour - Moth Beans,unbranded,unbranded,0.9917,unbranded,1.0,0.0083,True,Yes,"The title contains three key elements: 'Moth/Math Atta,' 'Flour,' and 'Moth Beans.' 'Moth' and 'Math' are names for a type of legume (moth bean), making them descriptive ingredient terms rather than a maker's name. 'Atta' is a descriptive term referring to flour or ground grain, and 'Flour' is simply the product type. No word in the title identifies a manufacturer or company; the entire title only describes what the product is — a flour made from moth beans.",
Fork PLA 160 mm,Unbranded,unbranded,0.9997,unbranded,1.0,0.0003,True,Yes,"The title contains three potentially notable terms: 'Fork,' 'PLA,' and '160 mm.' 'Fork' is a descriptive product type indicating a utensil. 'PLA' is a well-known material abbreviation for polylactic acid, a type of bioplastic commonly used in disposable cutlery — it describes the material, not a maker. '160 mm' is a size measurement. None of these words identify a real manufacturer or company, so the product is unbranded.",
Hot Dog Bun 55g L 160mm X W 55mm,Unbranded,unbranded,0.9999,unbranded,1.0,0.0001,True,Yes,"The title 'Hot Dog Bun 55g L 160mm X W 55mm' contains no recognizable maker or company name. 'Hot Dog Bun' is a descriptive product type, '55g' is a weight measurement, and 'L 160mm X W 55mm' are dimensional measurements indicating the length and width of the bun. All terms in the title are purely descriptive, referring to what the item is and its physical specifications, with no manufacturer or brand identified.",
Ajinomato,unbranded,branded,0.7154,branded,0.3311,-0.3843,False,No,"The word 'Ajinomato' is the key term to evaluate. It closely resembles 'Ajinomoto,' which is a well-known real food manufacturer and company name (maker of MSG and other food products). This appears to be a variant spelling of that established company/brand name, identifying a real maker rather than describing a product type, ingredient, or material. Since it names a recognizable manufacturer, the product is classified as branded.",
Cumin Seeds,unbranded,unbranded,0.9951,unbranded,1.0,0.0049,True,Yes,"'Cumin' is a well-known spice ingredient/plant name, and 'Seeds' describes the physical form of the product. Neither word identifies a manufacturer or company — together they simply describe what the product is: the seeds of the cumin plant. There are no other words in the title that could signal a brand.",
PAPAYA,unbranded,unbranded,0.9996,unbranded,1.0,0.0004,True,Yes,"The only word in the title is 'PAPAYA,' which refers to a tropical fruit — a product type and ingredient descriptor, not a maker or company name. There is no manufacturer, brand, or company name present anywhere in the title. Despite being capitalized, 'PAPAYA' simply identifies what the item is, not who makes or sells it.",
Frozen Fruit Raspberry,unbrand,unbranded,0.998,unbranded,1.0,0.002,True,Yes,"The title contains three words: 'Frozen,' 'Fruit,' and 'Raspberry.' Each of these is purely descriptive — 'Frozen' describes the preservation method, 'Fruit' describes the product type, and 'Raspberry' describes the specific flavor or ingredient. None of these words identifies a real manufacturer or company; together they simply describe what the item is.",
Bed Sheet,Unbranded,unbranded,0.9736,unbranded,1.0,0.0264,True,Yes,"The title contains only two words: 'Bed' and 'Sheet.' 'Bed' is a descriptive term indicating the intended use of the product, and 'Sheet' is a descriptive term indicating the product type. Neither word identifies a real manufacturer or company name, making this a purely descriptive title with no brand present.",
Twinings strawberry green tea,Unbranded,branded,1.0,branded,1.0,0.0,True,Yes,"The word 'Twinings' is a real, well-known tea manufacturer and company name, making this a branded product. The remaining words — 'strawberry,' 'green,' and 'tea' — are purely descriptive terms identifying the flavor (strawberry), the tea variety (green), and the product type (tea). Since 'Twinings' clearly identifies the maker of the product, the title is branded.",
CHICKEN KEEMA FOR SEEKH,Unbranded,unbranded,0.9985,unbranded,1.0,0.0015,True,Yes,"The title consists entirely of descriptive terms: 'CHICKEN' identifies the meat ingredient, 'KEEMA' refers to a type of minced/ground meat preparation common in South Asian cuisine, and 'SEEKH' describes the style of preparation (seekh kebab). None of these words identify a manufacturer or company — they only describe what the product is, what it is made from, and how it is used.",
Fryola Oil,Unbranded,branded,0.9994,branded,1.0,0.0006,True,Yes,"The word 'Fryola' is the key term to evaluate. It does not describe any ingredient, material, size, or flavor — it is not a generic or descriptive word. Instead, 'Fryola' appears to be a coined proprietary name that identifies the maker or brand behind this oil product. 'Oil' is purely a descriptive term indicating the product type. Because 'Fryola' functions as a real brand name rather than a descriptive term, the product is classified as branded.",
Madhusudan Butter,Unbranded,branded,1.0,branded,1.0,0.0,True,Yes,"The word 'Madhusudan' is the key term to evaluate here. It does not describe any property of the product — it is not a type, ingredient, material, size, flavor, or function. 'Madhusudan' is a proper name that identifies a specific maker or dairy company, making it a real manufacturer/brand name. 'Butter' is purely a descriptive term indicating the product type. Since the title contains a recognizable maker's name alongside a generic product type, the product is classified as branded.",
Gulab Jamun (Wyn),Unbranded,branded,0.9974,unbranded,0.9999,0.0025,True,Yes,"The title contains two potential signals: 'Gulab Jamun' and 'Wyn'. 'Gulab Jamun' is a well-known South Asian dessert, making it a descriptive product-type term rather than a brand name. 'Wyn' appears in parentheses, which often indicates a size, variety, or internal code designation; it is not recognizable as a real manufacturer or company name, so it cannot be confidently identified as a brand. With no clearly identifiable maker named in the title, the product is classified as unbranded.",
Sweets Pcs. Rasmalai,unbranded,unbranded,0.9997,unbranded,1.0,0.0003,True,Yes,"The word 'Sweets' describes the product category (confectionery/sweet food items) rather than naming a specific manufacturer or company. 'Rasmalai' is the name of a well-known South Asian dessert, making it a descriptive product-type term. 'Pcs.' is simply an abbreviation for 'pieces,' indicating quantity or unit. None of the words in the title identify a real maker or company behind the product.",
RED PAPRIKA SLICED -840 GM,DELMONTE/FRUTIN /ENTR%uFFFDE,unbranded,0.9988,unbranded,1.0,0.0012,True,Yes,"The title contains the words 'RED PAPRIKA SLICED,' which describe the product's color, type, and preparation method — all purely descriptive terms. '840 GM' is a weight measurement indicating the package size, not a maker or company name. No part of the title identifies a real manufacturer or brand; the entire title only describes what the product is.",
#_# Soaked Chia - The Whole Truth,Unbranded,branded,0.9967,branded,0.9998,0.0031,True,Yes,"The phrase 'The Whole Truth' in the title is the key signal here. It functions as a real brand/company name — a proper noun phrase used as an identity marker rather than a description of the product's content or form. The term 'Soaked Chia' is purely descriptive, referring to the product type and preparation method (chia seeds that have been soaked). The '#_#' appears to be an internal code or placeholder with no descriptive meaning. Since 'The Whole Truth' identifies a known maker/brand rather than describing what the product is, the product is classified as branded.",
Soda Water Kinley 750 ml,Unbranded,branded,1.0,branded,1.0,0.0,True,Yes,"The word 'Kinley' in the title is the key signal here. Kinley is a real maker/brand name — it is a beverage brand owned by The Coca-Cola Company that produces carbonated water and mixers. 'Soda Water' is purely a descriptive term identifying the product type, and '750 ml' is a measurement indicating the volume. Since 'Kinley' identifies a real manufacturer/brand, the product is classified as branded.",
#_# Tango Mango - Anando,unbranded,branded,0.8634,branded,0.9991,0.1357,True,Yes,"The title contains two potential brand signals: 'Tango Mango' and 'Anando.' 'Tango Mango' could be a descriptive flavor name (mango) combined with a rhyming word, but it may also function as a product line name. 'Anando' is the stronger indicator — it does not describe any ingredient, material, or product type, and it reads as a proper company or brand name identifying the maker of this product. Since 'Anando' appears to be a real maker/company name rather than a descriptive term, the product is classified as branded.",
Fresh Milk (Full Cream),Unbranded,unbranded,0.9903,unbranded,1.0,0.0097,True,Yes,"The title contains three notable terms: 'Fresh,' 'Milk,' and 'Full Cream.' 'Fresh' is a descriptive quality indicator, 'Milk' identifies the product type, and 'Full Cream' describes the fat content or variety of the milk. None of these words name a manufacturer or company; they collectively describe what the product is rather than who makes it.",
Food Colours Splash 200g Assorted,unbranded,branded,0.3702,unbranded,1.0,0.6298,True,Yes,"The title contains no word that identifies a real maker or company. 'Food Colours' describes the product type, 'Splash' could suggest a style or appearance descriptor relating to the assorted color theme rather than a manufacturer name, '200g' is a weight measurement, and 'Assorted' describes the variety of colors included. Since no part of the title clearly names a company or manufacturer, the product is unbranded.",
Milkhana Melted Cheese,Unbranded,branded,0.99,unbranded,0.0583,-0.9317,False,No,"The two candidate words are 'Milkhana' and 'Melted Cheese.' 'Melted Cheese' is purely descriptive, indicating the product type and its texture/state. 'Milkhana' could potentially be a brand name, but it reads more like a descriptive or stylized compound word combining 'milk' and a place-suffix ('khana,' meaning place/house in several South Asian languages), suggesting a descriptive origin or product-range label rather than a clearly identifiable manufacturer or company name. Since no part of the title unambiguously identifies a real, recognizable maker or company, the product is classified as unbranded.",
#_# Sticker - Sauce Dip Sticker Crunchy Chilli Oil - Prasuma,unbranded,branded,0.9881,branded,1.0,0.0119,True,Yes,"The word 'Prasuma' appears at the end of the title and identifies a real maker or company that produces this product. The other words — 'Sticker', 'Sauce', 'Dip', 'Crunchy', 'Chilli', and 'Oil' — are all descriptive terms referring to the product type, form, and flavor characteristics. The '#_#' portion appears to be an internal code or formatting artifact with no brand significance. Since 'Prasuma' clearly names a specific manufacturer, the product is branded.",
POTATO STARCH,Unbranded,unbranded,0.9997,unbranded,1.0,0.0003,True,Yes,"The title contains only two words: 'POTATO' and 'STARCH.' 'Potato' is an ingredient/source material, and 'starch' describes the type of product — together they simply name what the item is. Neither word identifies a manufacturer or company, and no other words in the title suggest a real maker.",
MAPRO BLACK CURRANT 1 LTR,unbranded,branded,1.0,branded,1.0,0.0,True,Yes,"The word 'MAPRO' is the specific term in this title that signals a brand. MAPRO is a recognized Indian food and beverage manufacturer known for producing fruit-based products such as squashes, crushes, and syrups. 'BLACK CURRANT' describes the flavor, '1 LTR' indicates the volume/size, and neither of these identifies a maker. Since MAPRO clearly names a real manufacturer, the product is classified as branded.",
CELLOFIN PAPER,Unbranded,branded,0.7578,unbranded,0.998,0.2402,True,Yes,"The two candidate words are 'CELLOFIN' and 'PAPER.' 'PAPER' is plainly a descriptive product-type term. 'CELLOFIN' resembles a portmanteau of 'cellophane' or 'cellulose' with a suffix, suggesting it describes a material or product variant rather than naming a manufacturer or company. Nothing in the title identifies a real maker or company behind this product, so it is classified as unbranded.",
Paper Cup Holder,Unbranded,unbranded,0.9997,unbranded,1.0,0.0003,True,Yes,"The title consists entirely of descriptive terms: 'Paper' refers to the material, 'Cup' refers to the type of vessel it holds, and 'Holder' describes the product's function. None of these words identify a real manufacturer or company name. There is no word in the title that signals a specific maker or brand.",
BARDINET BRANDY 1000 ML,Unbranded,branded,0.0326,branded,1.0,0.9674,True,Yes,"The word 'BARDINET' is the key term to evaluate here. Bardinet is a real and recognized French spirits manufacturer known for producing brandy and other liqueurs, making it a genuine maker/company name. The remaining words — 'BRANDY,' '1000,' and 'ML' — are purely descriptive, identifying the product type and its volume measurement. Since the title explicitly names the manufacturer, the product is classified as branded.",
#_# Tender Coconut Litchi Ice Pop - Getaway,Unbranded,branded,0.991,unbranded,1.0,0.009,True,Yes,"The words 'Tender Coconut' and 'Litchi' are flavor/ingredient descriptors, and 'Ice Pop' describes the product type — none of these identify a maker. 'Getaway' could potentially signal a brand name, but it reads more like a product line or flavor theme descriptor (suggesting a tropical escape concept) rather than a recognizable manufacturer or company name. The '#_#' prefix appears to be an internal code or placeholder, not a maker's name. With no clearly identifiable manufacturer or company name present, the product is classified as unbranded.",
Number Candles,unbranded,unbranded,0.9979,unbranded,1.0,0.0021,True,Yes,"The title contains only two words: 'Number' and 'Candles.' 'Candles' is clearly a product type descriptor, not a brand name. 'Number' describes the style or form of the candles — candles shaped like numbers — and does not identify any real maker or company. Since no part of the title names a manufacturer or brand, the product is unbranded.",
Papaya,unbranded,unbranded,0.9997,unbranded,1.0,0.0003,True,Yes,"The only word in the title is 'Papaya,' which is the name of a tropical fruit — a product type descriptor, not a maker or company name. There are no other words, abbreviations, or terms in the title that could signal a brand. Since the title solely identifies what the item is rather than who makes or sells it, the product is unbranded.",
Mixed Veg Pickle (5 kg)-Snacc,unbranded,branded,0.9995,branded,1.0,0.0005,True,Yes,"The word 'Snacc' appears at the end of the title after a hyphen, which is a common placement pattern for a brand name on a product label. 'Snacc' is not a descriptive term for the product type, ingredient, material, size, or flavor — it does not describe what the item is in any meaningful way. The rest of the title ('Mixed Veg Pickle' and '5 kg') are purely descriptive, identifying the product type and size. 'Snacc' therefore functions as the maker or brand name, making this a branded product.",
Cooking White Wine 750ml,Unbranded,unbranded,0.9995,unbranded,1.0,0.0005,True,Yes,"The title contains no word that identifies a real maker or company. 'Cooking' describes the intended use of the product, 'White Wine' describes the type of beverage, and '750ml' is a standard volume measurement. All terms are purely descriptive, so no manufacturer or brand is named anywhere in the title.",
SPINCACH,Unbranded,unbranded,0.9874,unbranded,0.9984,0.011,True,Yes,"The only word in the title is 'SPINCACH,' which appears to be a portmanteau or shorthand combining 'spinach' — a descriptive ingredient or product type term. There is no recognizable manufacturer or company name present in the title. Without any additional context identifying 'SPINCACH' as a registered brand or maker, it reads purely as a descriptive term for a spinach-based product. Following the rule to choose UNBRANDED when genuinely uncertain, this product is classified as unbranded.",
Cake Base 5.5x5.5 Plain,Unbranded,unbranded,0.9997,unbranded,1.0,0.0003,True,Yes,"The title contains no words that identify a real maker or company. 'Cake Base' describes the product type (a base used for cakes), '5.5x5.5' is a size measurement, and 'Plain' describes the style or finish of the item. All elements are purely descriptive, with no manufacturer or brand name present.",
Oregano Herbs (Seasoning ),All Brands,unbranded,0.9988,unbranded,1.0,0.0012,True,Yes,"The title contains only the words 'Oregano,' 'Herbs,' and 'Seasoning,' all of which are purely descriptive terms identifying the type of plant, its category, and its culinary use. 'Oregano' is an herb/ingredient name, not a company or manufacturer. No part of the title identifies a real maker or brand responsible for producing or selling the product.",
Yellow Moong dal,Unbranded,unbranded,0.9994,unbranded,1.0,0.0006,True,Yes,"The title contains three words: 'Yellow,' 'Moong,' and 'Dal.' 'Yellow' is a color descriptor indicating the variety or appearance of the product. 'Moong' refers to the mung bean, identifying the specific type of legume. 'Dal' is a generic term for split or husked pulses. None of these words name a real manufacturer or company; together they simply describe what the product is — a yellow variety of split mung beans.",
Soda Kinley,All Brands,branded,0.9991,branded,1.0,0.0009,True,Yes,"The word 'Kinley' in the title signals a brand — it is a real maker/company name, specifically a beverage brand owned by The Coca-Cola Company known for carbonated water and soda products. The word 'Soda' is purely descriptive, indicating the type of beverage. Since 'Kinley' identifies a real commercial maker, the product is classified as branded.",
Tandoori Masala Powder,Everest,unbranded,0.9948,unbranded,1.0,0.0052,True,Yes,"The title contains three words: 'Tandoori,' 'Masala,' and 'Powder.' 'Tandoori' refers to a style of South Asian cooking associated with a tandoor oven, making it a descriptive term for flavor/style. 'Masala' is a generic term for a spice blend, and 'Powder' describes the physical form of the product. None of these words identify a real manufacturer or company; together they simply describe what the product is — a powdered spice blend in the tandoori style.",
PAPER COVER BROWN -S - CHUTNEY,UNBRANDED,unbranded,0.9966,unbranded,1.0,0.0034,True,Yes,"The title contains the words 'PAPER COVER BROWN,' 'S,' and 'CHUTNEY,' none of which identify a real maker or company. 'PAPER COVER BROWN' describes the material and color of the item (a brown paper cover/wrapper), 'S' appears to be a size designation, and 'CHUTNEY' describes the product type or flavor variant. No part of this title names a manufacturer or brand responsible for making or selling the product.",
#_# Mango Biscoff Tub - Sassy Teaspoon,Unbranded,branded,0.9996,branded,1.0,0.0004,True,Yes,"The title contains two potential brand signals: 'Biscoff' and 'Sassy Teaspoon.' Biscoff is a real and widely recognized brand name — a product line by Lotus Bakeries — identifying a specific maker's biscuit/spread, not merely a descriptive term. 'Sassy Teaspoon' appears to be the name of the business or shop selling this item (likely a dessert/ice cream parlor), functioning as a company or maker name rather than a descriptive term for the product itself. 'Mango' and 'Tub' are purely descriptive terms referring to a flavor and container type respectively.",
KALI MASOOR,Unbranded,unbranded,0.9859,unbranded,1.0,0.0141,True,Yes,"The title contains two words: 'KALI' and 'MASOOR.' 'Masoor' is the common South Asian name for red lentils, making it a descriptive product-type term. 'Kali' means 'black' in several South Asian languages, so 'Kali Masoor' together describes a variety of black/dark lentils — a purely descriptive name for the ingredient itself. Neither word identifies a real manufacturer or company, so the title only describes what the item is.",
#_# Plain Milk Chocolate Bar 41% [65 g] - Entisi Chocolatier,unbranded,branded,1.0,branded,1.0,0.0,True,Yes,"The title contains 'Entisi Chocolatier,' which is a specific maker/company name identifying who produces this chocolate bar — it is a real chocolatier brand, not a descriptive term. The remaining words — 'Plain,' 'Milk Chocolate Bar,' '41%,' and '65 g' — are all descriptive, referring to the product type, cocoa content percentage, and weight. Because the title explicitly names the manufacturer 'Entisi Chocolatier,' the product is clearly branded.",
Orange Juice 1 Lltr,Real,unbranded,0.9998,unbranded,1.0,0.0002,True,Yes,"The title contains only descriptive terms: 'Orange Juice' identifies the product type and flavor, and '1 Lltr' specifies the volume/size of the container. There are no words in the title that identify a real manufacturer or company — no maker's name is present anywhere in the title.",
SCOTCH BRITE - SOFT SPONGE,UNBRANDED,branded,0.9996,branded,1.0,0.0004,True,Yes,"The term 'SCOTCH BRITE' (commonly written Scotch-Brite) is the key signal here — it is a real, widely recognized brand name owned by 3M Company that identifies the maker of cleaning and scrubbing products. 'SOFT' is a descriptive term indicating the texture or firmness of the product, and 'SPONGE' is a descriptive term identifying the product type. Because the title contains a genuine manufacturer/brand name in 'SCOTCH BRITE,' the product is classified as branded.",
Pickle Mixed 5Kgs Jar,unbrand,unbranded,0.9969,unbranded,1.0,0.0031,True,Yes,"The title contains no word that identifies a real maker or company. 'Pickle' is a product type (preserved vegetable preparation), 'Mixed' is a descriptive term indicating a combination of varieties, '5Kgs' is a weight measurement, and 'Jar' describes the packaging format. None of these words name a manufacturer or brand; they collectively describe what the item is and how it is packaged.",
Vinyl Sticker 2x1.5 Ft,Unbranded,unbranded,0.9999,unbranded,1.0,0.0001,True,Yes,"The title contains no word that identifies a real maker or company. 'Vinyl' is a material descriptor, 'Sticker' is the product type, and '2x1.5 Ft' is a size measurement. Together these words describe only what the item is and its dimensions, not who makes or sells it.",
Veggie Pizza Pocket,Unbranded,unbranded,0.9985,unbranded,1.0,0.0015,True,Yes,"The title contains three words: 'Veggie,' 'Pizza,' and 'Pocket.' 'Veggie' is a descriptive ingredient term indicating the pizza contains vegetables. 'Pizza' describes the product type, and 'Pocket' describes the physical form or style of the item — a folded or enclosed pastry. None of these words identify a real manufacturer or company; together they simply describe what the product is.",
Soyabeen Chunks-Soya Chunks,unbranded,unbranded,0.9958,unbranded,1.0,0.0042,True,Yes,"The title contains two closely related terms: 'Soyabeen Chunks' and 'Soya Chunks,' both of which are purely descriptive names referring to a food product made from soy. 'Soyabeen' (a variant spelling of soybean) and 'Soya' identify the ingredient, while 'Chunks' describes the physical form of the product. Neither term names a manufacturer or company — together they simply describe what the item is, not who makes it.",
Pickle Sachet,All Brands,unbranded,0.9999,unbranded,1.0,0.0001,True,Yes,"The title contains only two words: 'Pickle' and 'Sachet.' 'Pickle' is a descriptive ingredient/flavor term identifying the type of product, and 'Sachet' is a descriptive packaging/form term indicating a small sealed packet. Neither word names a real manufacturer or company; together they simply describe what the item is — a small packet of pickle. With no identifiable maker referenced in the title, the product is unbranded.",
#_# Sugar Free Coffee Almond Ice Cream Tub (125 ml) - Bina,Unbranded,branded,0.9968,branded,1.0,0.0032,True,Yes,"The word 'Bina' at the end of the title is the key term to evaluate. 'Bina' appears to function as a maker or brand name, as it is presented after a dash — a common formatting convention used to indicate the manufacturer or seller of a product. The remaining words — 'Sugar Free,' 'Coffee,' 'Almond,' 'Ice Cream,' 'Tub,' and '125 ml' — are all descriptive terms referring to the product's dietary property, flavors, type, form, and size respectively, and none of them identify a maker. Because 'Bina' is not a descriptive or generic term and reads as a proper name identifying who makes the product, the title is classified as branded.",
COOK POT SS WITH LID 36*20  20LTR,unbranded,unbranded,0.9995,unbranded,1.0,0.0005,True,Yes,"The title contains no word that identifies a real maker or company. 'COOK POT' describes the product type, 'SS' is a common material abbreviation for stainless steel, 'WITH LID' describes a feature, '36*20' denotes dimensions, and '20LTR' specifies the capacity — all purely descriptive terms. No manufacturer or brand name appears anywhere in the title.",
PERFECT NO-BAKE CHEESECAKE MIX (1KG),Unbranded,branded,0.8539,unbranded,1.0,0.1461,True,Yes,"The word 'PERFECT' could signal a brand, but in this context it reads as a descriptive adjective promoting the quality of the product rather than identifying a maker. 'NO-BAKE CHEESECAKE MIX' is a straightforward description of the product type and preparation method, and '1KG' is simply a weight measurement. No part of this title clearly identifies a real manufacturer or company name.",
HAMDARD ROOHAFZA 750ML,unbranded,branded,1.0,branded,1.0,0.0,True,Yes,"The word 'HAMDARD' is a real manufacturer name — Hamdard Laboratories is a well-known company that produces herbal and health products. 'ROOHAFZA' is the specific product name/brand associated with Hamdard, referring to their famous rose-based syrup. '750ML' is purely a measurement indicating the volume of the product and carries no brand significance.",
Chef Coat S36  Black Half Sleeve,unbranded,branded,0.0357,unbranded,1.0,0.9643,True,Yes,The phrase 'Chef Coat' describes the product type — a coat worn by chefs — and is purely a descriptive term for what the item is. 'S36' appears to be a size or internal code designation rather than a recognizable manufacturer or company name. 'Black' and 'Half Sleeve' are descriptive attributes referring to color and style. No part of the title identifies a real maker or company.,
Fruit Filling Mango Delta,unbranded,branded,0.8056,unbranded,1.0,0.1944,True,Yes,"The title contains three potentially notable words: 'Fruit Filling' is purely descriptive, indicating the product type (a filling made from fruit). 'Mango' identifies the flavor or ingredient. 'Delta' could theoretically be a brand name, but it is also commonly used as a descriptive or geographic term, and nothing in this title confirms it as a real manufacturer or company name. Without clear evidence of a maker's identity, the product is best classified as unbranded.",
Chocolate Sprinkle,Unbranded,unbranded,0.9971,unbranded,1.0,0.0029,True,Yes,"The title contains two words: 'Chocolate' and 'Sprinkle.' 'Chocolate' is a flavor/ingredient descriptor, not a maker's name. 'Sprinkle' refers to the product type or form — small decorative toppings — and is purely descriptive. Neither word identifies a real manufacturer or company, so the product is unbranded.",
250ML Tea Pouch with Box,Unbranded,unbranded,0.9995,unbranded,1.0,0.0005,True,Yes,"The title contains no word that identifies a real maker or company. '250ML' is a volume measurement, 'Tea' is an ingredient/product type, 'Pouch' describes the packaging format, and 'Box' describes an additional container. Every element in the title is purely descriptive of the item's size, contents, and physical form, with no manufacturer or brand name present.",
Fresh Cream - 250ml,Unbranded,unbranded,0.9972,unbranded,1.0,0.0028,True,Yes,"The title contains two potential signals: 'Fresh Cream' and '250ml'. 'Fresh Cream' is purely descriptive, indicating the type and quality of the dairy product rather than naming any manufacturer or company. '250ml' is a measurement of volume, not a brand name. Since no part of the title identifies a real maker or company, the product is unbranded.",
Garlic Bread Seasoning Powder,All Brands,unbranded,0.9985,unbranded,1.0,0.0015,True,Yes,"Every word in this title is purely descriptive. 'Garlic' names an ingredient, 'Bread' describes the style or intended use, 'Seasoning' describes the product type, and 'Powder' describes the physical form. None of these words identifies a manufacturer or company — together they simply describe what the item is and how it is used.",
Aroma Diffuser Liquid,unbranded,unbranded,0.9976,unbranded,1.0,0.0024,True,Yes,"The title contains three words: 'Aroma,' 'Diffuser,' and 'Liquid.' 'Aroma' describes the product's sensory characteristic (fragrance/scent), 'Diffuser' describes what the product does or is used with (a device that disperses scent), and 'Liquid' describes the physical form of the product. None of these words identify a real manufacturer or company; together they simply describe what the item is — a liquid used in an aroma diffuser.",
Hot dog 7 inch with seeds,unbranded,unbranded,0.999,unbranded,1.0,0.001,True,Yes,"The title 'Hot dog 7 inch with seeds' contains no words that identify a real maker or company. 'Hot dog' is a descriptive product type (a style of bread roll or the food item itself), '7 inch' is a size measurement, and 'with seeds' describes a physical characteristic of the product. None of these terms name a manufacturer or brand — they collectively describe only what the item is.",
WF - 350 ml Bowl,Unbranded,unbranded,0.9969,unbranded,1.0,0.0031,True,Yes,"The potentially brand-like elements in this title are 'WF' and '350 ml Bowl.' 'WF' is an abbreviation that could theoretically be a brand, but it is not recognizable as a real manufacturer or company name from the title alone. '350 ml' is a measurement describing the bowl's capacity, and 'Bowl' is simply the product type. Since no part of the title clearly identifies a real maker, the product is classified as unbranded.",
#_# Blueberry Greek Yogurt Minis Guilt Free Ice Cream [09 pieces] - Noto,Unbranded,branded,0.9998,branded,1.0,0.0002,True,Yes,"The word 'Noto' at the end of the title is the specific term that signals a brand — it appears to be a maker or company name rather than a descriptive term, as it has no recognizable meaning as a product type, ingredient, material, flavor, or size. The other words in the title — 'Blueberry,' 'Greek Yogurt,' 'Minis,' 'Guilt Free,' and 'Ice Cream' — are all descriptive terms identifying the flavor, style, format, and product category. The prefix '#_#' and '[09 pieces]' appear to be internal codes or quantity indicators, not maker names. Because 'Noto' functions as an identifiable company or brand name appended to the product description, the product is classified as branded.",
Lychee Juice 1000 Ml,unbranded,unbranded,0.9988,unbranded,1.0,0.0012,True,Yes,"The title contains three elements: 'Lychee Juice,' '1000,' and 'Ml.' 'Lychee Juice' is purely descriptive, identifying the product type and its fruit ingredient rather than naming any maker. '1000 Ml' is a size/volume measurement indicating the container's capacity. No word in the title identifies a real manufacturer or company — the title only describes what the product is and how much of it there is.",
#_# The Berry Good Bar 72% [Chocolate Bar] - La Folie,unbranded,branded,0.9997,branded,0.9974,-0.0023,True,Yes,"The phrase 'La Folie' at the end of the title is the specific word that signals a brand — it is a real maker/company name identifying the manufacturer of this chocolate bar. 'The Berry Good Bar' is a descriptive product name referring to the bar's berry flavor profile, not a maker. '72%' refers to the cocoa content (a descriptive specification), and '[Chocolate Bar]' simply describes the product type.",
Phool Makana,unbrand,unbranded,0.9972,unbranded,1.0,0.0028,True,Yes,"The title 'Phool Makana' consists of two words that together describe a specific food item — fox nuts or lotus seeds, commonly known by this name in South Asian markets. 'Phool' means flower in Hindi/Urdu and describes a characteristic of the product, while 'Makana' (Makhana) refers to the food item itself (lotus puffed seeds). Neither word identifies a manufacturer or company; both are descriptive terms referring to the product type and its traditional name.",
