title,brand,pred_brand,confidence,p_branded,raw_conf,logprob,verifier_token,stage1_reasoning,error
Dry Fruits Pista Whole,unbranded,unbranded,0.9995,,0.9995,-0.000466,Yes,Dry Fruits Pista Whole is a generic commodity product with no specific brand name mentioned.,
Bru Coffee 500g,unbranded,branded,1.0,,1.0,-6e-06,Yes,Bru is a well-known coffee brand owned by HUL (Hindustan Unilever Limited).,
Hummus,unbranded,unbranded,0.9898,,0.9898,-0.010222,Yes,Hummus is listed as a generic food item with no specific brand name associated with it.,
Lotus Flour,Unbranded,branded,0.961,,0.961,-0.039832,Yes,Lotus is a specific brand name used for packaged flour products.,
San Marzano - Pomace Olive Oil,San Marzano,branded,0.7746,,0.7746,-0.255431,Yes,San Marzano is a specific brand name under which this pomace olive oil is sold.,
BREAD COVER 2,Ovenfresh,unbranded,0.9777,,0.9777,-0.022539,Yes,This appears to be a generic bread cover/packaging item with no specific brand name associated with it.,
Nestle Milk Powder 1KG,Unbranded,branded,1.0,,1.0,-6e-06,Yes,"Nestle is a well-known global brand, making this a branded milk powder product.",
Cassata - 125ml,GAW,unbranded,0.989,,0.989,-0.011048,Yes,Cassata is a generic ice cream type/flavor name with no specific brand mentioned.,
UH GREEN CAPSICUMWHOLE CLEANEDCRATE,unbranded,unbranded,0.9952,,0.9952,-0.004767,Yes,"Green capsicum is a fresh vegetable commodity; 'UH' appears to be an internal category code, not a brand name.",
Classic Ice Burst 10 Nos,unbrand,branded,0.5312,,0.5312,-0.6326,Yes,"The term 'Classic Ice Burst' appears to be a branded product name for a specific packaged item, likely ice candy or a frozen treat.",
Mustard Seed,unbranded,unbranded,0.9848,,0.9848,-0.015306,Yes,Mustard Seed is a generic commodity spice with no specific brand name associated with it.,
Roll Sleeve Red,unbranded,unbranded,0.999,,0.999,-0.000955,Yes,The product title 'Roll Sleeve Red' describes a generic clothing item by style and color with no specific brand name mentioned.,
Cookies Caramel 6kg ( Mec3-14772),Unbranded,branded,0.999,,0.999,-0.00097,Yes,"The product references 'Mec3', which is a known branded ingredient/product supplier, indicating this is a branded item.",
River Sole Fillet,Unbranded,unbranded,0.9992,,0.9992,-0.000843,Yes,River Sole Fillet is a generic fish product with no specific brand name associated with it.,
HOLLO MAT3125*5,Unbranded,branded,0.5078,,0.5078,-0.677645,Yes,"HOLLO MAT appears to be a specific brand or product line identifier with a model number (3125*5), indicating a branded product.",
Cotton BBK Apron,Unbranded,branded,0.1711,,0.8289,-0.18761,No,BBK appears to be a specific brand name associated with this apron product.,
CC CONTAINER - 375ML,unbranded,unbranded,0.9906,,0.9906,-0.009457,Yes,CC CONTAINER - 375ML appears to be a generic storage container described by size with no specific brand name.,
Adrak / Ginger,Unbranded,unbranded,0.9996,,0.9996,-0.000431,Yes,"Ginger is a raw, generic commodity with no specific brand name associated with it.",
#_# Stapler,unbranded,unbranded,0.9974,,0.9974,-0.002554,Yes,"The product title '#_# Stapler' contains no recognizable brand name, appearing to be a generic or placeholder entry.",
Curry Patta,Unbranded,unbranded,0.9993,,0.9993,-0.000657,Yes,Curry Patta (curry leaves) is a generic fresh herb commodity with no specific brand name.,
Termocool morded box,unbranded,branded,0.852,,0.852,-0.160225,Yes,Termocool appears to be a specific brand name for this insulated/thermal box product.,
#_# Cacao Crispy - Ether,unbranded,branded,0.4649,,0.5351,-0.625306,No,Ether appears to be a specific brand name for this Cacao Crispy product.,
Cake Saver,unbranded,branded,0.0003,,0.9997,-0.000325,No,'Cake Saver' appears to be a branded product name for a specific kitchen storage or food preservation item.,
Milk ( Full Cream ),Unbranded,unbranded,0.9984,,0.9984,-0.00165,Yes,Generic full cream milk with no specific brand name mentioned.,
Hair Net,MINUS 30,unbranded,0.9972,,0.9972,-0.002762,Yes,Hair Net is a generic commodity item with no specific brand name mentioned.,
Almond biscotti (1pcs),Base Kitchen,unbranded,0.9998,,0.9998,-0.00022,Yes,The product title describes a generic bakery item with no specific brand name associated with it.,
Dark Chocolate Paste-NAS,Unbranded,branded,0.0351,,0.9649,-0.035778,No,The 'NAS' suffix indicates a specific brand or manufacturer's product line for this dark chocolate paste.,
DAL MAKHANI STICKERS,Unbranded,unbranded,0.9928,,0.9928,-0.007259,Yes,This appears to be a generic label/sticker item for dal makhani with no specific brand name associated with it.,
Mini Button Bhakarwadi,Unbranded,unbranded,0.9883,,0.9883,-0.011756,Yes,The product title 'Mini Button Bhakarwadi' describes a generic snack item with no specific brand name associated with it.,
Thai Jasmine Rice 2kg pkt MBK,unbranded,branded,0.9728,,0.9728,-0.027546,Yes,MBK is a specific brand name associated with this packaged Thai Jasmine Rice product.,
Plastic Packing Cover Thick   12*16,unbranded,unbranded,1.0,,1.0,-4.4e-05,Yes,Generic plastic packing cover with only size specifications and no brand name mentioned.,
Keto Blueberry Cheesecake Ice Cream - 100 ml RM,GAW,branded,0.2422,,0.7578,-0.277344,No,"The product appears to be a specialty branded keto ice cream product, not a generic commodity item.",
Pesto Pistachio 2.5kg (Mec3-14755),Unbranded,branded,0.9997,,0.9997,-0.000283,Yes,"The product includes 'Mec3', which is a known Italian brand specializing in gelato and pastry ingredients.",
MAKKI ATTA,Unbranded,unbranded,0.9991,,0.9991,-0.00087,Yes,Makki Atta (corn flour) is a generic commodity product with no specific brand name mentioned.,
Chest Freezer Capacity - 500 Ltr - 1060*700*840,Unbranded,unbranded,0.9992,,0.9992,-0.00083,Yes,This is a generic chest freezer listed by specifications (capacity and dimensions) with no specific brand name mentioned.,
Coke 750 Ml,unbranded,branded,1.0,,1.0,-6e-06,Yes,Coke is a well-known brand name for Coca-Cola's carbonated soft drink.,
Gherkin,unbranded,unbranded,0.9948,,0.9948,-0.005234,Yes,Gherkin is a generic vegetable/commodity item with no specific brand name associated with it.,
Cayenne Pepper Powder,,unbranded,0.9996,,0.9996,-0.000352,Yes,Cayenne Pepper Powder is a generic spice with no specific brand name mentioned.,
Palak - Spinach,unbranded,unbranded,0.9997,,0.9997,-0.000301,Yes,Palak/Spinach is a generic leafy vegetable with no specific brand name associated with it.,
GLUTEN NB 0121,unbranded,branded,0.8129,,0.8129,-0.207188,Yes,The product appears to have a specific product code/label (NB 0121) suggesting it is a branded gluten product rather than a generic commodity.,
Red Raddish,unbrand,unbranded,0.9991,,0.9991,-0.000912,Yes,Red Radish is a generic vegetable commodity with no specific brand name associated with it.,
200m Tie,Unbranded,unbranded,0.7827,,0.7827,-0.245054,Yes,This appears to be a generic commodity item (likely a tie or binding material measured by length) with no specific brand name mentioned.,
SAMSEER MARK,Unbranded,branded,0.2568,,0.7432,-0.296834,No,'SAMSEER MARK' appears to be a specific brand or trademark name for a product.,
Paper Cup 350ml (10'' Oz) FLYP,Unbranded,branded,0.9826,,0.9826,-0.017597,Yes,"The product is sold under the brand name 'FLYP', indicating it is a branded product.",
N_4  Pet Jar Lid,Unbranded,unbranded,0.9137,,0.9137,-0.090279,Yes,This appears to be a generic pet jar lid component with no specific brand name associated with it.,
Farali Sabudana Vada,unbranded,unbranded,0.9989,,0.9989,-0.001117,Yes,Farali Sabudana Vada is a generic traditional snack item with no specific brand name associated with it.,
Possmei Taro Powder Premix 1kg pkt,POSSMEI,branded,0.9999,,0.9999,-0.000124,Yes,Possmei is a specific brand name for this taro powder premix product.,
EGGFREE TEA TIME VANILLA MUFFIN,unbranded,branded,0.0685,,0.9315,-0.071,No,EGGFREE appears to be a specific brand name for this packaged vanilla muffin product.,
Noodle ( Thin Vala ),Unbranded,unbranded,0.9972,,0.9972,-0.002805,Yes,The product is described generically as 'Thin Noodle' with no specific brand name associated with it.,
Hand Wash 5 Ltr Can,Unbranded,unbranded,0.9995,,0.9995,-0.000488,Yes,"The product title lacks any specific brand name, describing only the generic product type and size.",
Windmill Potato starch,Unbranded,branded,0.9975,,0.9975,-0.002476,Yes,Windmill is a specific brand name under which this potato starch is sold.,
CURRY PATTA,unbranded,unbranded,0.999,,0.999,-0.001033,Yes,Curry Patta (curry leaves) is a generic fresh herb commodity with no specific brand name.,
#_# Mango Kulfi 300gm - Parsi Dairy Farm,unbranded,branded,1.0,,1.0,-3.3e-05,Yes,Mango Kulfi is sold under the 'Parsi Dairy Farm' brand name.,
Camino Real Gold 750Ml,unbrand,branded,0.9994,,0.9994,-0.000598,Yes,Camino Real is a specific brand name for a tequila/spirits product sold under that label.,
Coriander Fresh W/O Roots,All Brands,unbranded,0.9997,,0.9997,-0.000341,Yes,Fresh coriander is a generic commodity herb with no brand name associated.,
Sweets Milk White Peda,unbranded,unbranded,0.9992,,0.9992,-0.00078,Yes,The title describes a generic traditional sweet (Milk White Peda) with no specific brand name associated with it.,
Whole Wheat Jumbo Bread,CFI,unbranded,0.9991,,0.9991,-0.00087,Yes,The product title describes a generic whole wheat bread with no specific brand name mentioned.,
#_# Pista Kulfi Stick (70 ml) - Go Zero,Unbranded,branded,0.9876,,0.9876,-0.01251,Yes,Go Zero is a specific brand selling this Pista Kulfi Stick product.,
Silver Pouch 6*8 (100PC),unbranded,unbranded,0.9999,,1.0,-5e-05,Yes,This is a generic packaging/commodity item (silver pouches) sold by size and quantity with no specific brand name mentioned.,
#_# Rocky Road Ice-cream Tub (100ml) - Meemees,unbranded,branded,0.9999,,0.9999,-0.000136,Yes,"The product is sold under the brand name 'Meemees', making it a branded ice cream product.",
Fruit Cocktail Tin,Unbranded,branded,0.3998,,0.6002,-0.510513,No,"Fruit cocktail in a tin is a processed, packaged product typically sold under a specific brand name rather than as a loose/generic commodity.",
Sesame Oil 650 Ml,unbrand,unbranded,0.999,,0.999,-0.001033,Yes,The product title mentions only the item type and quantity with no specific brand name associated with it.,
Hand Rub,unbranded,unbranded,0.9993,,0.9993,-0.000678,Yes,Hand Rub is a generic product description with no specific brand name mentioned.,
Dark Compound Co D15 500Gms,,branded,0.2282,,0.7718,-0.258974,No,"The product appears to be a dark compound chocolate sold under a specific brand/product code 'Co D15', indicating a branded product.",
500 ml rectangle box,Unbranded,unbranded,0.9998,,0.9998,-0.000194,Yes,This is a generic packaging container described by size and shape with no brand name mentioned.,
Chocolate Ice-cream,Unbranded,unbranded,0.9996,,0.9996,-0.000357,Yes,The product title 'Chocolate Ice-cream' is a generic flavor description with no specific brand name mentioned.,
Hydrochloric Acid,unbrand,unbranded,0.999,,0.999,-0.001017,Yes,Hydrochloric Acid is a generic chemical commodity with no specific brand name associated with it.,
Artichoke Tin 390 Grms,unbrand,unbranded,0.9998,,0.9998,-0.000174,Yes,The product title mentions only the item type and size with no specific brand name identified.,
DRY COCONUT,JAY MARUTHI GOLD,unbranded,0.9997,,0.9997,-0.000315,Yes,Dry coconut is a generic commodity item with no specific brand name associated with it.,
WHITE PITA BREAD 4 PC PACK,Unbranded,unbranded,0.9995,,0.9995,-0.000451,Yes,The product title describes a generic commodity item with no specific brand name mentioned.,
Turmeric (Haldi) Powder Chounk,unbranded,unbranded,0.9756,,0.9756,-0.024727,Yes,"Turmeric powder is a generic spice commodity with no specific brand name associated with it; 'Chounk' appears to be a category descriptor, not a brand.",
#_# Sugar Free Chocolate Hazelnut Ice Cream Tub (125 ml) - Bina,Unbranded,branded,0.9987,,0.9987,-0.001326,Yes,The product is sold under the brand name 'Bina' as indicated at the end of the product title.,
Scotch Brite - Rubber Kitchen Gloves,Scotch Brite,branded,0.9838,,0.9838,-0.016285,Yes,Scotch-Brite is a well-known cleaning products brand owned by 3M.,
Dark Couverture 54%,unbranded,unbranded,0.999,,0.999,-0.000986,Yes,The title describes a generic type of dark couverture chocolate by cocoa percentage with no specific brand name mentioned.,
SCOTCH BRITE  JUNA,Unbranded,branded,0.9972,,0.9972,-0.002849,Yes,Scotch-Brite is a well-known cleaning product brand owned by 3M.,
Thai Jasmine rice,Unbranded,unbranded,0.9974,,0.9974,-0.002595,Yes,Thai Jasmine rice is a generic commodity product referring to a type/variety of rice with no specific brand name.,
Biscoff Biscuit Lotus,unbranded,branded,1.0,,1.0,-6e-06,Yes,Biscoff is a well-known branded biscuit product manufactured by Lotus Bakeries.,
CINNAMON 1 KG,unbranded,unbranded,0.9998,,0.9998,-0.000234,Yes,Cinnamon is a generic spice commodity with no brand name mentioned.,
President Butter Unsalted 500gm,unbranded,branded,1.0,,1.0,-2.4e-05,Yes,President is a well-known dairy brand that sells butter under its brand name.,
Milk,unbranded,unbranded,0.9949,,0.9949,-0.005073,Yes,Milk is listed as a generic commodity with no specific brand name attached.,
Olive Oil (Regular /Pomace ),unbranded,unbranded,0.9989,,0.9989,-0.001082,Yes,The product is listed as a generic commodity olive oil type (Regular/Pomace) with no specific brand name mentioned.,
MRD Stickers,unbranded,branded,0.637,,0.637,-0.450939,Yes,MRD is a specific brand name associated with these stickers.,
Milk Chocochip,unbranded,unbranded,0.9965,,0.9965,-0.003544,Yes,The product title 'Milk Chocochip' is a generic descriptor with no specific brand name associated with it.,
Lemon Ginger Syrup,Krispy Kreme,unbranded,0.9912,,0.9912,-0.008887,Yes,The product title is a generic description of a syrup with no specific brand name attached.,
Urinal Pad,unbranded,unbranded,0.9986,,0.9986,-0.001434,Yes,The product title 'Urinal Pad' is a generic commodity description with no specific brand name mentioned.,
Bombay pao,Unbranded,unbranded,0.9997,,0.9997,-0.000306,Yes,Bombay pao refers to a generic type of bread commonly sold as a loose/commodity bakery item without a specific brand name.,
Heeng Papdi 200g,Ksheer Sagar,unbranded,0.9372,,0.9372,-0.064847,Yes,Heeng Papdi appears to be a generic/loose snack item with no specific brand name mentioned.,
Taski R5 5ltr,Unbranded,branded,0.9999,,0.9999,-9e-05,Yes,"Taski is a well-known professional cleaning brand, and R5 is a specific product line under that brand.",
DAILY FRESH MILLETS IDLI AND DOSA BATTER POUCH 1/2KG,WVF,branded,0.9987,,0.9987,-0.001265,Yes,DAILY FRESH is a specific brand name under which this idli and dosa batter is sold.,
Staff Mustard Whole,,unbranded,0.3007,,0.6993,-0.357742,No,"'Staff' appears to be a category/type descriptor rather than a brand name, making this a generic whole mustard seed commodity product.",
MANGO PUREE,unbranded,unbranded,0.9993,,0.9993,-0.000688,Yes,Mango Puree is a generic commodity product with no specific brand name mentioned.,
Magaj Big,unbranded,unbranded,0.8933,,0.8933,-0.112823,Yes,Magaj (melon seeds) is a generic commodity item with no specific brand name attached.,
Garbage Bag Big 30X50 Virgin,,unbranded,0.9997,,0.9997,-0.000325,Yes,The product title describes a generic garbage bag by size and material specification with no specific brand name mentioned.,
PAPER COVER BROWN - PAPAD,UNBRANDED,unbranded,0.9112,,0.9112,-0.093016,Yes,This is a generic paper cover/packaging item for papad with no specific brand name mentioned.,
Red Yellow Capsicum Mixed,unbrand,unbranded,0.9999,,0.9999,-0.000142,Yes,Red and yellow capsicum is a generic fresh produce item with no specific brand name associated.,
Cake Box (7*7*4),Unbranded,unbranded,1.0,,1.0,-2.1e-05,Yes,This is a generic packaging item described only by its dimensions with no specific brand name mentioned.,
Kabuli Channa,Unbranded,unbranded,0.9988,,0.9988,-0.001246,Yes,Kabuli Channa is a generic commodity legume with no specific brand name associated with it.,
Tahina Paste,unbranded,unbranded,0.9928,,0.9928,-0.007259,Yes,Tahina paste is a generic commodity product with no specific brand name mentioned.,
Lobo - 5 Spice Powder 65 gm 51547,OUTLET,branded,0.9999,,0.9999,-6e-05,Yes,Lobo is a specific brand name selling 5 Spice Powder as a packaged product.,
Sticker Mutton Haleem,unbranded,branded,0.0213,,0.9787,-0.021518,No,Sticker appears to be a brand name associated with this Mutton Haleem product.,
Plastic Oven Bowl 2200 ml,Unbranded,unbranded,0.9985,,0.9985,-0.001456,Yes,The product is a generic plastic oven bowl with no specific brand name mentioned.,
Raw Banana- Nos,unbranded,unbranded,0.9998,,0.9998,-0.000171,Yes,Raw Banana is a generic commodity produce with no specific brand name associated with it.,
Disposal Cap (Pkt),unbranded,unbranded,0.99,,0.99,-0.010064,Yes,Disposal Cap is a generic commodity item with no specific brand name associated with it.,
InWard Register,Unbranded,branded,0.0177,,0.9823,-0.017871,No,InWard Register appears to be a specific branded stationery product sold under the 'InWard' brand name.,
Potato Flakes 1kg pkt,unbranded,unbranded,0.996,,0.996,-0.004015,Yes,The product is listed as a generic commodity item with no specific brand name mentioned.,
DESERT SPOON 12GTIDY,Unbranded,branded,0.0122,,0.9878,-0.012317,No,DESERT SPOON 12GTIDY appears to reference a specific branded product line or SKU rather than a generic commodity item.,
Maggi Seasoning Sauce 680Ml,unbranded,branded,0.9999,,0.9999,-6.8e-05,Yes,"Maggi is a well-known brand owned by Nestlé, and this product is sold under that specific brand name.",
Green Chillies,,unbranded,0.9999,,0.9999,-8.1e-05,Yes,Green Chillies is a generic fresh produce item with no specific brand name associated with it.,
Pizza Base 8 inch Whole Wheat Pan Crust (Junos),unbranded,branded,1.0,,1.0,-2.5e-05,Yes,The product is sold under the specific brand name 'Junos'.,
Topper,unbranded,branded,0.1176,,0.8824,-0.125079,No,'Topper' appears to be a specific brand name used for a product rather than a generic commodity item.,
Staff Subji,Unbranded,unbranded,0.8723,,0.8723,-0.136568,Yes,'Staff Subji' appears to be a generic vegetable dish or mix with no identifiable brand name.,
Brinjal   Black,unbranded,unbranded,0.9998,,0.9998,-0.000213,Yes,Brinjal Black is a generic vegetable with no brand name associated with it.,
#_# Griselda's Red Velvet Sticker (Eggless) - Cookie Cartel,Unbranded,branded,0.9196,,0.9196,-0.083771,Yes,The product is sold under the brand 'Cookie Cartel' with a specific product line named 'Griselda's Red Velvet Sticker'.,
Canteen Tea Cup (130ML),unbranded,unbranded,0.9977,,0.9977,-0.002326,Yes,The product is a generic canteen tea cup with no specific brand name associated with it.,
Pokchay,unbrand,unbranded,0.9978,,0.9978,-0.002185,Yes,Pokchay (Bok Choy) is a generic leafy vegetable commodity with no specific brand name.,
CHICKEN LEG RAW,unbranded,unbranded,0.9994,,0.9994,-0.000589,Yes,Chicken leg raw is a generic commodity meat product with no specific brand name associated with it.,
#_# Sakura Blossom Gateaux (125 Gms) - Ether,unbranded,branded,0.9971,,0.9971,-0.002894,Yes,The product is sold under the brand name 'Ether' with a specific product line 'Sakura Blossom Gateaux'.,
TL Slicer Cutter,Unbranded,branded,0.0981,,0.9019,-0.103229,No,TL appears to be a brand or manufacturer label preceding the product type 'Slicer Cutter'.,
Fine Sev,Chaat Street,unbranded,0.9898,,0.9898,-0.010222,Yes,Fine Sev is a generic snack item with no specific brand name associated with it.,
R.O Water Bottles (20 Ltrs),Water,unbranded,0.9921,,0.9921,-0.00797,Yes,R.O. Water Bottles refers to a generic reverse osmosis water refill service with no specific brand name.,
#_# XYLITOL Chocolate Hazelnut Icecream (600ML) - Bina,unbranded,branded,0.9504,,0.9504,-0.050861,Yes,The product is sold under the brand name 'Bina' with a specific product line (XYLITOL Chocolate Hazelnut Icecream).,
J and B Rare,unbranded,branded,0.9991,,0.9991,-0.000897,Yes,J&B Rare is a well-known Scotch whisky brand produced by Diageo.,
Chlorin Liquid,unbrand,branded,0.5234,,0.5234,-0.647372,Yes,Chlorin is a specific brand name for a liquid cleaning/disinfectant product.,
Golden Dust,unbranded,branded,0.3141,,0.6859,-0.376952,No,'Golden Dust' is a specific brand/product name rather than a generic commodity item.,
#_# Slide Tru Hamper Box OF 4 Outer - The Tiny Tub,unbranded,branded,0.9885,,0.9885,-0.011575,Yes,The product is sold under 'The Tiny Tub' brand name.,
Moth / Math Atta - Flour - Moth Beans,unbranded,unbranded,0.9917,,0.9917,-0.008351,Yes,This is a generic commodity flour made from moth beans with no specific brand name mentioned.,
Fork PLA 160 mm,Unbranded,unbranded,0.9997,,0.9997,-0.000274,Yes,"The product is a generic PLA fork described only by material and size, with no brand name mentioned.",
Hot Dog Bun 55g L 160mm X W 55mm,Unbranded,unbranded,0.9999,,0.9999,-0.000136,Yes,The product title describes a generic hot dog bun with dimensions but no specific brand name mentioned.,
Ajinomato,unbranded,branded,0.7154,,0.7154,-0.334881,Yes,Ajinomoto is a well-known brand name for monosodium glutamate (MSG) seasoning.,
Cumin Seeds,unbranded,unbranded,0.9951,,0.9951,-0.004918,Yes,Cumin Seeds is a generic commodity spice with no specific brand name associated with it.,
PAPAYA,unbranded,unbranded,0.9996,,0.9996,-0.000352,Yes,Papaya is a generic fresh fruit with no specific brand name associated with it.,
Frozen Fruit Raspberry,unbrand,unbranded,0.998,,0.998,-0.001959,Yes,The product is a generic frozen raspberry fruit with no specific brand name mentioned.,
Bed Sheet,Unbranded,unbranded,0.9736,,0.9736,-0.026709,Yes,The product title 'Bed Sheet' is a generic item with no specific brand name mentioned.,
Twinings strawberry green tea,Unbranded,branded,1.0,,1.0,-4e-06,Yes,Twinings is a well-known international tea brand.,
CHICKEN KEEMA FOR SEEKH,Unbranded,unbranded,0.9985,,0.9985,-0.001502,Yes,Chicken keema for seekh is a generic raw meat product with no specific brand name associated with it.,
Fryola Oil,Unbranded,branded,0.9994,,0.9994,-0.000607,Yes,Fryola is a specific brand name used for a cooking oil product.,
Madhusudan Butter,Unbranded,branded,1.0,,1.0,-5e-06,Yes,Madhusudan is a specific dairy brand name associated with this butter product.,
Gulab Jamun (Wyn),Unbranded,branded,0.9974,,0.9974,-0.002594,Yes,"Gulab Jamun is sold under the brand name 'Wyn', indicating it is a branded product.",
Sweets Pcs. Rasmalai,unbranded,unbranded,0.9997,,0.9997,-0.00031,Yes,"Rasmalai is a generic Indian sweet with no specific brand name indicated, and 'Sweets Pcs.' is a category descriptor, not a brand.",
RED PAPRIKA SLICED -840 GM,DELMONTE/FRUTIN /ENTR%uFFFDE,unbranded,0.9988,,0.9988,-0.001189,Yes,Red paprika sliced is a generic commodity vegetable/spice product with no specific brand name mentioned.,
#_# Soaked Chia - The Whole Truth,Unbranded,branded,0.9967,,0.9967,-0.003331,Yes,The Whole Truth is a specific health food brand that sells packaged products like soaked chia.,
Soda Water Kinley 750 ml,Unbranded,branded,1.0,,1.0,-3.4e-05,Yes,Kinley is a specific brand of soda water owned by Coca-Cola.,
#_# Tango Mango - Anando,unbranded,branded,0.8634,,0.8634,-0.146889,Yes,Anando is a specific brand name associated with this Tango Mango product.,
Fresh Milk (Full Cream),Unbranded,unbranded,0.9903,,0.9903,-0.009756,Yes,Fresh Full Cream Milk is a generic commodity product with no specific brand name mentioned.,
Food Colours Splash 200g Assorted,unbranded,branded,0.3702,,0.6298,-0.462394,No,Food Colours Splash appears to be a branded product line identified by the brand name 'Splash'.,
Milkhana Melted Cheese,Unbranded,branded,0.99,,0.99,-0.010064,Yes,Milkhana is a specific brand name under which this melted cheese product is sold.,
#_# Sticker - Sauce Dip Sticker Crunchy Chilli Oil - Prasuma,unbranded,branded,0.9881,,0.9881,-0.011941,Yes,The product is sold under the 'Prasuma' brand name.,
POTATO STARCH,Unbranded,unbranded,0.9997,,0.9997,-0.000253,Yes,Potato starch is a generic commodity ingredient with no specific brand name mentioned.,
MAPRO BLACK CURRANT 1 LTR,unbranded,branded,1.0,,1.0,-4.7e-05,Yes,MAPRO is a well-known brand that manufactures fruit-based products including syrups and crushes.,
CELLOFIN PAPER,Unbranded,branded,0.7578,,0.7578,-0.277345,Yes,CELLOFIN appears to be a specific brand name for a paper product.,
Paper Cup Holder,Unbranded,unbranded,0.9997,,0.9997,-0.000315,Yes,The product title 'Paper Cup Holder' is a generic item description with no specific brand name mentioned.,
BARDINET BRANDY 1000 ML,Unbranded,branded,0.0326,,0.9674,-0.033133,No,Bardinet is a well-known French brandy brand sold under a specific brand name.,
#_# Tender Coconut Litchi Ice Pop - Getaway,Unbranded,branded,0.991,,0.991,-0.009026,Yes,"The product is sold under the brand name 'Getaway', indicating it is a branded ice pop product.",
Number Candles,unbranded,unbranded,0.9979,,0.9979,-0.002151,Yes,Number candles are generic birthday/celebration candles with no specific brand name mentioned.,
Papaya,unbranded,unbranded,0.9997,,0.9997,-0.000325,Yes,Papaya is a generic fresh fruit with no specific brand name attached to it.,
Mixed Veg Pickle (5 kg)-Snacc,unbranded,branded,0.9995,,0.9995,-0.000512,Yes,The product is sold under the brand name 'Snacc'.,
Cooking White Wine 750ml,Unbranded,unbranded,0.9995,,0.9995,-0.000496,Yes,The product title describes a generic cooking white wine with no specific brand name mentioned.,
SPINCACH,Unbranded,unbranded,0.9874,,0.9874,-0.012706,Yes,"SPINCACH appears to be a misspelling of 'spinach', a generic leafy vegetable commodity with no brand association.",
Cake Base 5.5x5.5 Plain,Unbranded,unbranded,0.9997,,0.9997,-0.000341,Yes,"The product appears to be a generic plain cake base identified only by its size dimensions, with no specific brand name mentioned.",
Oregano Herbs (Seasoning ),All Brands,unbranded,0.9988,,0.9988,-0.001246,Yes,Oregano Herbs is a generic seasoning/spice with no specific brand name mentioned.,
Yellow Moong dal,Unbranded,unbranded,0.9994,,0.9994,-0.000637,Yes,Yellow Moong dal is a generic commodity pulse with no specific brand name associated with it.,
Soda Kinley,All Brands,branded,0.9991,,0.9991,-0.000926,Yes,Kinley is a specific brand of soda water owned by Coca-Cola Company.,
Tandoori Masala Powder,Everest,unbranded,0.9948,,0.9948,-0.005234,Yes,The product title is a generic spice mix name with no specific brand associated with it.,
PAPER COVER BROWN -S - CHUTNEY,UNBRANDED,unbranded,0.9966,,0.9966,-0.003382,Yes,"This refers to a generic brown paper cover/bag used for chutney packaging, with no specific brand name associated.",
#_# Mango Biscoff Tub - Sassy Teaspoon,Unbranded,branded,0.9996,,0.9996,-0.000418,Yes,Sassy Teaspoon is a specific brand name associated with this Mango Biscoff Tub product.,
KALI MASOOR,Unbranded,unbranded,0.9859,,0.9859,-0.014164,Yes,"KALI MASOOR refers to black lentils, a generic commodity item with no specific brand name.",
#_# Plain Milk Chocolate Bar 41% [65 g] - Entisi Chocolatier,unbranded,branded,1.0,,1.0,-4.5e-05,Yes,The product is sold under the 'Entisi Chocolatier' brand name.,
Orange Juice 1 Lltr,Real,unbranded,0.9998,,0.9998,-0.000154,Yes,The product title 'Orange Juice 1 Lltr' is a generic description with no specific brand name mentioned.,
SCOTCH BRITE - SOFT SPONGE,UNBRANDED,branded,0.9996,,0.9996,-0.000438,Yes,Scotch-Brite is a well-known 3M brand of cleaning products.,
Pickle Mixed 5Kgs Jar,unbrand,unbranded,0.9969,,0.9969,-0.00308,Yes,The product is described generically as 'Mixed Pickle' with no specific brand name mentioned.,
Vinyl Sticker 2x1.5 Ft,Unbranded,unbranded,0.9999,,0.9999,-5e-05,Yes,The product title describes a generic vinyl sticker by size with no specific brand name mentioned.,
Veggie Pizza Pocket,Unbranded,unbranded,0.9985,,0.9985,-0.001502,Yes,The product title 'Veggie Pizza Pocket' is a generic descriptive name with no specific brand or company name associated with it.,
Soyabeen Chunks-Soya Chunks,unbranded,unbranded,0.9958,,0.9958,-0.004208,Yes,Soya Chunks is a generic commodity product with no specific brand name mentioned.,
Pickle Sachet,All Brands,unbranded,0.9999,,0.9999,-0.000129,Yes,The product title 'Pickle Sachet' is a generic descriptor with no specific brand name mentioned.,
#_# Sugar Free Coffee Almond Ice Cream Tub (125 ml) - Bina,Unbranded,branded,0.9968,,0.9968,-0.003178,Yes,The product is sold under the brand name 'Bina' as a specific Sugar Free Coffee Almond Ice Cream product.,
COOK POT SS WITH LID 36*20  20LTR,unbranded,unbranded,0.9995,,0.9995,-0.000504,Yes,"The product is a generic stainless steel cook pot described only by its dimensions and capacity, with no brand name mentioned.",
PERFECT NO-BAKE CHEESECAKE MIX (1KG),Unbranded,branded,0.8539,,0.8539,-0.157927,Yes,"The product is sold under the brand name 'PERFECT', indicating it is a specific branded cheesecake mix.",
HAMDARD ROOHAFZA 750ML,unbranded,branded,1.0,,1.0,-7e-06,Yes,Hamdard is a well-known brand and Rooh Afza is its flagship branded sharbat product.,
Chef Coat S36  Black Half Sleeve,unbranded,branded,0.0357,,0.9643,-0.036331,No,"The product is sold under the 'Chef Coat' label with specific product details, indicating a branded apparel item.",
